country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-11-23
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-11-24
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-11-25
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-11-26
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-11-27
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-11-28
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-11-29
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-11-30
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-12-01
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-12-02
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-12-03
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-12-04
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-12-05
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-12-06
Albania,19,0.4,3.25,3.8,10.7,-3.7,64.6,-6.0,2.79,2023-12-07
Albania,19,0.4,3.25,3.9,10.7,-3.7,64.6,-6.0,2.79,2023-12-08
Albania,19,0.4,3.25,3.9,10.7,-3.7,64.6,-6.0,2.79,2023-12-09
Albania,19,0.4,3.25,3.9,10.7,-3.7,64.6,-6.0,2.79,2023-12-10
Albania,19,0.4,3.25,3.9,10.7,-3.7,64.6,-6.0,2.79,2023-12-11
Albania,19,0.4,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-12
Albania,19,0.4,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-13
Albania,19,0.4,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-14
Albania,19,0.4,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-15
Albania,19,0.4,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-16
Albania,19,0.4,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-17
Albania,19,0.4,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-18
Albania,19,0.4,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-19
Albania,19,0.4,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-20
Albania,19,0.4,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-21
Albania,19,2.3,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-22
Albania,19,2.3,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-23
Albania,19,2.3,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-24
Albania,19,2.3,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-25
Albania,19,2.3,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-26
Albania,19,2.3,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-27
Albania,19,2.3,3.25,3.9,10.5,-3.7,64.6,-6.0,2.79,2023-12-28
