country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Algeria,192,0.8,3.0,9.5,11.6,-0.2,52.4,9.5,44.9,2023-11-23
Algeria,192,0.8,3.0,9.5,11.6,-0.2,52.4,9.5,44.9,2023-11-24
Algeria,192,0.8,3.0,9.5,11.6,-0.2,52.4,9.5,44.9,2023-11-25
Algeria,192,0.8,3.0,9.5,11.6,-0.2,52.4,9.5,44.9,2023-11-26
Algeria,192,0.8,3.0,9.5,11.6,-0.2,52.4,9.5,44.9,2023-11-27
Algeria,192,0.8,3.0,9.5,11.6,-0.2,52.4,9.5,44.9,2023-11-28
Algeria,192,0.8,3.0,9.5,11.6,-0.2,52.4,9.5,44.9,2023-11-29
Algeria,192,0.8,3.0,8.3,11.6,-0.2,52.4,9.5,44.9,2023-11-30
Algeria,192,0.8,3.0,8.3,11.6,-0.2,52.4,9.5,44.9,2023-12-01
Algeria,192,0.8,3.0,8.3,11.6,-0.2,52.4,9.5,44.9,2023-12-02
Algeria,192,0.8,3.0,8.3,11.6,-0.2,52.4,9.5,44.9,2023-12-03
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-04
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-05
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-06
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-07
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-08
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-09
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-10
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-11
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-12
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-13
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-14
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-15
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-16
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-17
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-18
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-19
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-20
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-21
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-22
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-23
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-24
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-25
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-26
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-27
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-28
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-29
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-30
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2023-12-31
Algeria,192,0.8,3.0,8.2,11.6,-0.2,52.4,9.5,44.9,2024-01-01
