country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Angola,107,0.2,18.0,16.58,29.6,2.7,56.1,11.4,33.09,2023-11-23
Angola,107,0.2,18.0,16.58,29.6,2.7,56.1,11.4,33.09,2023-11-24
Angola,107,0.2,18.0,16.58,29.6,2.7,56.1,11.4,33.09,2023-11-25
Angola,107,0.2,18.0,16.58,29.6,2.7,56.1,11.4,33.09,2023-11-26
Angola,107,0.2,18.0,16.58,29.6,2.7,56.1,11.4,33.09,2023-11-27
Angola,107,0.2,18.0,16.58,29.6,2.7,56.1,11.4,33.09,2023-11-28
Angola,107,0.2,18.0,16.58,29.6,2.7,56.1,11.4,33.09,2023-11-29
Angola,107,0.2,18.0,16.58,29.6,2.7,56.1,11.4,33.09,2023-11-30
Angola,107,0.2,18.0,16.58,29.6,2.7,56.1,11.4,33.09,2023-12-01
Angola,107,0.2,18.0,16.58,29.6,2.7,56.1,11.4,33.09,2023-12-02
Angola,107,0.2,18.0,16.58,29.6,2.7,56.1,11.4,33.09,2023-12-03
Angola,107,0.2,18.0,16.58,29.6,2.7,56.1,11.4,33.09,2023-12-04
