country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-11-23
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-11-24
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-11-25
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-11-26
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-11-27
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-11-28
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-11-29
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-11-30
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-12-01
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-12-02
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-12-03
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-12-04
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-12-05
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-12-06
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-12-07
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-12-08
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-12-09
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-12-10
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-12-11
Argentina,633,-2.84,133.0,142.7,6.2,-2.4,85.0,-0.7,46.24,2023-12-12
Argentina,633,-2.84,133.0,160.9,6.2,-2.4,85.0,-0.7,46.24,2023-12-13
Argentina,633,-2.84,133.0,160.9,6.2,-2.4,85.0,-0.7,46.24,2023-12-14
Argentina,633,2.7,133.0,160.9,6.2,-2.4,85.0,-0.7,46.24,2023-12-15
Argentina,633,2.7,133.0,160.9,6.2,-2.4,85.0,-0.7,46.24,2023-12-16
Argentina,633,2.7,133.0,160.9,6.2,-2.4,85.0,-0.7,46.24,2023-12-17
Argentina,633,2.72,133.0,160.9,6.2,-2.4,85.0,-0.7,46.24,2023-12-18
Argentina,633,2.72,100.0,160.9,6.2,-2.4,85.0,-0.7,46.24,2023-12-19
Argentina,633,2.72,100.0,160.9,6.2,-2.4,85.0,-0.7,46.24,2023-12-20
Argentina,633,2.72,100.0,160.9,5.7,-2.4,85.0,-0.7,46.24,2023-12-21
Argentina,633,2.72,100.0,160.9,5.7,-2.4,85.0,-0.7,46.24,2023-12-22
Argentina,633,2.72,100.0,160.9,5.7,-2.4,85.0,-0.7,46.24,2023-12-23
Argentina,633,2.72,100.0,160.9,5.7,-2.4,85.0,-0.7,46.24,2023-12-24
Argentina,633,2.72,100.0,160.9,5.7,-2.4,85.0,-0.7,46.24,2023-12-25
Argentina,633,2.72,100.0,160.9,5.7,-2.4,85.0,-0.7,46.24,2023-12-26
Argentina,633,2.72,100.0,160.9,5.7,-2.4,85.0,-0.7,46.24,2023-12-27
Argentina,633,2.72,100.0,160.9,5.7,-2.4,85.0,-0.7,46.24,2023-12-28
Argentina,633,2.72,100.0,160.9,5.7,-2.4,85.0,-0.7,46.24,2023-12-29
Argentina,633,2.72,100.0,160.9,5.7,-2.4,85.0,-0.7,46.24,2023-12-30
Argentina,633,2.72,100.0,160.9,5.7,-2.4,85.0,-0.7,46.24,2023-12-31
Argentina,633,2.72,100.0,160.9,5.7,-2.4,85.0,-0.7,46.24,2024-01-01
Argentina,631,2.72,100.0,160.9,5.7,-2.4,85.0,-0.7,46.24,2024-01-02
