country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Armenia,20,,9.5,0.1,11.7,-2.5,49.27,0.1,2.98,2023-11-23
Armenia,20,,9.5,0.1,11.7,-2.5,49.27,0.1,2.98,2023-11-24
Armenia,20,,9.5,0.1,11.7,-2.5,49.27,0.1,2.98,2023-11-25
Armenia,20,,9.5,0.1,11.7,-2.5,49.27,0.1,2.98,2023-11-26
Armenia,20,,9.5,0.12,11.7,-2.5,49.27,0.1,2.98,2023-11-27
Armenia,20,,9.5,0.12,11.7,-2.5,49.27,0.1,2.98,2023-11-28
Armenia,20,,9.5,0.12,11.7,-2.5,49.27,0.1,2.98,2023-11-29
Armenia,20,,9.5,0.12,11.7,-2.5,49.27,0.1,2.98,2023-11-30
Armenia,20,,9.5,0.12,11.7,-2.5,49.27,0.1,2.98,2023-12-01
Armenia,20,,9.5,0.12,11.7,-2.5,49.27,0.1,2.98,2023-12-02
Armenia,20,,9.5,0.12,11.7,-2.5,49.27,0.1,2.98,2023-12-03
Armenia,20,,9.5,0.12,11.7,-2.5,49.27,0.1,2.98,2023-12-04
Armenia,20,,9.5,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-05
Armenia,20,,9.5,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-06
Armenia,20,,9.5,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-07
Armenia,20,,9.5,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-08
Armenia,20,,9.5,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-09
Armenia,20,,9.5,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-10
Armenia,20,,9.5,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-11
Armenia,20,,9.25,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-12
Armenia,20,,9.25,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-13
Armenia,20,,9.25,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-14
Armenia,20,,9.25,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-15
Armenia,20,,9.25,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-16
Armenia,20,,9.25,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-17
Armenia,20,,9.25,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-18
Armenia,20,,9.25,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-19
Armenia,20,,9.25,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-20
Armenia,20,,9.25,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-21
Armenia,20,,9.25,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-22
Armenia,20,,9.25,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-23
Armenia,20,,9.25,-0.5,11.7,-2.5,49.27,0.1,2.98,2023-12-24
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2023-12-25
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2023-12-26
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2023-12-27
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2023-12-28
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2023-12-29
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2023-12-30
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2023-12-31
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2024-01-01
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2024-01-02
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2024-01-03
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2024-01-04
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2024-01-05
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2024-01-06
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2024-01-07
Armenia,20,,9.25,-0.49,11.7,-2.5,49.27,0.1,2.98,2024-01-08
Armenia,20,,9.25,0.6,11.7,-2.5,49.27,0.1,2.98,2024-01-09
Armenia,20,,9.25,0.6,12.0,-2.5,49.27,0.1,2.98,2024-01-10
Armenia,20,,9.25,0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-11
Armenia,20,,9.25,0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-12
Armenia,20,,9.25,0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-13
Armenia,20,,9.25,0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-14
Armenia,20,,9.25,0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-15
Armenia,20,,9.25,0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-16
Armenia,20,,9.25,0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-17
Armenia,20,,9.25,0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-18
Armenia,20,,9.25,0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-19
Armenia,20,,9.25,0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-20
Armenia,20,,9.25,0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-21
Armenia,20,,9.25,0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-22
Armenia,20,,9.25,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-23
Armenia,20,,9.25,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-24
Armenia,20,,9.25,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-25
Armenia,20,,9.25,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-26
Armenia,20,,9.25,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-27
Armenia,20,,9.25,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-28
Armenia,20,,9.25,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-29
Armenia,20,,8.75,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-30
Armenia,20,,8.75,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-01-31
Armenia,20,,8.75,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-02-01
Armenia,20,,8.75,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-02-02
Armenia,20,,8.75,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-02-03
Armenia,20,,8.75,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-02-04
Armenia,20,,8.75,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-02-05
Armenia,20,,8.75,-0.6,12.0,-2.3,49.27,-3.4,2.98,2024-02-06
Armenia,20,,8.75,-0.9,12.0,-2.3,49.27,-3.4,2.98,2024-02-07
Armenia,20,,8.75,-0.9,12.0,-2.3,49.27,-3.4,2.98,2024-02-08
Armenia,20,,8.75,-0.9,12.0,-2.3,49.27,-3.4,2.98,2024-02-09
Armenia,20,,8.75,-0.9,12.0,-2.3,49.27,-3.4,2.98,2024-02-10
Armenia,20,,8.75,-0.9,12.0,-2.3,49.27,-3.4,2.98,2024-02-11
Armenia,20,,8.75,-0.9,12.0,-2.3,49.27,-3.4,2.98,2024-02-12
Armenia,20,,8.75,-0.9,12.0,-2.3,49.27,-3.4,2.98,2024-02-13
Armenia,20,,8.75,-0.9,12.0,-2.3,49.27,-3.4,2.98,2024-02-14
