country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Austria,471,-0.6,4.5,5.4,6.3,-3.5,78.4,-0.2,9.1,2023-11-23
Austria,471,-0.6,4.5,5.4,6.3,-3.5,78.4,-0.2,9.1,2023-11-24
Austria,471,-0.6,4.5,5.4,6.3,-3.5,78.4,-0.2,9.1,2023-11-25
Austria,471,-0.6,4.5,5.4,6.3,-3.5,78.4,-0.2,9.1,2023-11-26
Austria,471,-0.6,4.5,5.4,6.3,-3.5,78.4,-0.2,9.1,2023-11-27
Austria,471,-0.6,4.5,5.4,6.3,-3.5,78.4,-0.2,9.1,2023-11-28
Austria,471,-0.6,4.5,5.4,6.3,-3.5,78.4,-0.2,9.1,2023-11-29
Austria,471,-0.6,4.5,5.4,6.3,-3.5,78.4,-0.2,9.1,2023-11-30
Austria,471,-0.5,4.5,5.4,6.5,-3.5,78.4,-0.2,9.1,2023-12-01
Austria,471,-0.5,4.5,5.4,6.5,-3.5,78.4,-0.2,9.1,2023-12-02
Austria,471,-0.5,4.5,5.4,6.5,-3.5,78.4,-0.2,9.1,2023-12-03
Austria,471,-0.5,4.5,5.4,6.5,-3.5,78.4,-0.2,9.1,2023-12-04
Austria,471,-0.5,4.5,5.4,6.5,-3.5,78.4,-0.2,9.1,2023-12-05
Austria,471,-0.5,4.5,5.4,6.5,-3.5,78.4,-0.2,9.1,2023-12-06
