country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-11-23
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-11-24
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-11-25
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-11-26
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-11-27
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-11-28
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-11-29
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-11-30
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-12-01
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-12-02
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-12-03
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-12-04
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-12-05
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-12-06
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-12-07
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-12-08
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-12-09
Azerbaijan,79,,8.5,10.2,5.5,-1.0,11.7,30.5,10.06,2023-12-10
