country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Bahamas,13,,4.0,2.3,10.1,-13.6,88.6,-14.2,0.4,2023-11-23
Bahamas,13,,4.0,2.3,10.1,-13.6,88.6,-14.2,0.4,2023-11-24
Bahamas,13,,4.0,2.3,10.1,-13.6,88.6,-14.2,0.4,2023-11-25
Bahamas,13,,4.0,2.3,10.1,-13.6,88.6,-14.2,0.4,2023-11-26
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-11-27
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-11-28
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-11-29
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-11-30
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-12-01
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-12-02
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-12-03
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-12-04
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-12-05
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-12-06
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-12-07
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-12-08
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-12-09
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-12-10
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-12-11
Bahamas,13,,4.0,2.28,10.1,-13.6,88.6,-14.2,0.4,2023-12-12
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-13
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-14
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-15
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-16
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-17
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-18
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-19
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-20
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-21
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-22
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-23
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-24
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-25
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-26
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-27
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-28
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-29
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-30
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2023-12-31
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2024-01-01
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2024-01-02
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2024-01-03
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2024-01-04
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2024-01-05
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2024-01-06
Bahamas,13,,4.0,2.2,10.1,-13.6,88.6,-14.2,0.4,2024-01-07
Bahamas,13,,4.0,2.2,10.1,-5.9,88.6,-14.2,0.4,2024-01-08
Bahamas,13,,4.0,2.2,10.1,-5.9,88.6,-14.2,0.4,2024-01-09
Bahamas,13,,4.0,2.2,10.1,-5.9,88.6,-14.2,0.4,2024-01-10
Bahamas,13,,4.0,2.2,10.1,-5.9,88.6,-14.2,0.4,2024-01-11
Bahamas,13,,4.0,2.2,10.1,-5.9,88.6,-14.2,0.4,2024-01-12
Bahamas,13,,4.0,2.2,10.1,-5.9,88.6,-14.2,0.4,2024-01-13
Bahamas,13,,4.0,2.2,10.1,-5.9,88.6,-14.2,0.4,2024-01-14
Bahamas,13,,4.0,2.2,10.1,-5.9,88.6,-14.2,0.4,2024-01-15
Bahamas,13,,4.0,2.2,10.1,-5.9,88.6,-14.2,0.4,2024-01-16
