country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-11-23
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-11-24
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-11-25
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-11-26
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-11-27
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-11-28
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-11-29
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-11-30
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-12-01
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-12-02
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-12-03
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-12-04
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-12-05
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-12-06
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-12-07
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-12-08
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-12-09
Bangladesh,460,7.25,6.5,9.93,4.7,5.06,28.2,-4.1,171.3,2023-12-10
Bangladesh,460,7.25,6.5,9.49,4.7,5.06,28.2,-4.1,171.3,2023-12-11
Bangladesh,460,7.25,6.5,9.49,4.7,5.06,28.2,-4.1,171.3,2023-12-12
Bangladesh,460,7.25,6.5,9.49,4.7,5.06,28.2,-4.1,171.3,2023-12-13
Bangladesh,460,7.25,6.5,9.49,4.7,5.06,28.2,-4.1,171.3,2023-12-14
Bangladesh,460,7.25,6.5,9.49,4.7,5.06,28.2,-4.1,171.3,2023-12-15
Bangladesh,460,7.25,6.5,9.49,4.7,5.06,28.2,-4.1,171.3,2023-12-16
Bangladesh,460,7.25,6.5,9.49,4.7,5.06,28.2,-4.1,171.3,2023-12-17
Bangladesh,460,7.25,6.5,9.49,4.7,5.06,28.2,-4.1,171.3,2023-12-18
Bangladesh,460,7.25,6.5,9.49,4.7,5.06,28.2,-4.1,171.3,2023-12-19
