country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-11-23
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-11-24
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-11-25
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-11-26
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-11-27
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-11-28
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-11-29
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-11-30
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-12-01
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-12-02
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-12-03
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-12-04
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-12-05
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-12-06
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-12-07
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-12-08
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-12-09
Belarus,73,,9.5,3.7,3.6,-0.3,32.8,4.2,9.26,2023-12-10
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-11
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-12
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-13
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-14
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-15
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-16
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-17
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-18
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-19
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-20
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-21
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-22
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-23
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-24
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-25
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-26
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-27
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-28
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-29
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-30
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2023-12-31
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2024-01-01
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2024-01-02
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2024-01-03
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2024-01-04
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2024-01-05
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2024-01-06
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2024-01-07
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2024-01-08
Belarus,73,,9.5,5.4,3.6,-0.3,32.8,4.2,9.26,2024-01-09
Belarus,73,,9.5,5.8,3.6,-0.3,32.8,4.2,9.26,2024-01-10
Belarus,73,,9.5,5.8,3.6,-0.3,32.8,4.2,9.26,2024-01-11
Belarus,73,,9.5,5.8,3.6,-0.3,32.8,4.2,9.26,2024-01-12
Belarus,73,,9.5,5.8,3.6,-0.3,32.8,4.2,9.26,2024-01-13
Belarus,73,,9.5,5.8,3.6,-0.3,32.8,4.2,9.26,2024-01-14
Belarus,73,,9.5,5.8,3.6,-0.3,32.8,4.2,9.26,2024-01-15
