country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-11-23
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-11-24
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-11-25
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-11-26
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-11-27
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-11-28
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-11-29
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-11-30
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-12-01
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-12-02
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-12-03
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-12-04
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-12-05
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-12-06
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-12-07
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-12-08
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-12-09
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-12-10
Benin,17,,5.25,-1.1,1.7,-5.5,52.8,-5.7,12.91,2023-12-11
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-12
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-13
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-14
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-15
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-16
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-17
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-18
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-19
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-20
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-21
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-22
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-23
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-24
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-25
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-26
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-27
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-28
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-29
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-30
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2023-12-31
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2024-01-01
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2024-01-02
Benin,17,,5.25,-0.2,1.7,-5.5,52.8,-5.7,12.91,2024-01-03
