country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Bhutan,3,,6.85,5.03,5.9,-7.8,124.8,-33.8,0.78,2023-11-23
Bhutan,3,,6.85,5.03,5.9,-7.8,124.8,-33.8,0.78,2023-11-24
Bhutan,3,,6.85,5.03,5.9,-7.8,124.8,-33.8,0.78,2023-11-25
Bhutan,3,,6.85,5.03,5.9,-7.8,124.8,-33.8,0.78,2023-11-26
Bhutan,3,,6.85,5.03,5.9,-7.8,124.8,-33.8,0.78,2023-11-27
Bhutan,3,,6.85,5.03,5.9,-7.8,124.8,-33.8,0.78,2023-11-28
Bhutan,3,,6.85,5.03,5.9,-7.8,124.8,-33.8,0.78,2023-11-29
Bhutan,3,,6.85,5.03,5.9,-7.8,124.8,-33.8,0.78,2023-11-30
Bhutan,3,,6.85,5.03,5.9,-7.8,124.8,-33.8,0.78,2023-12-01
Bhutan,3,,6.85,5.03,5.9,-7.8,124.8,-33.8,0.78,2023-12-02
Bhutan,3,,6.85,5.03,5.9,-7.8,124.8,-33.8,0.78,2023-12-03
Bhutan,3,,6.85,5.03,5.9,-7.8,124.8,-33.8,0.78,2023-12-04
Bhutan,3,,6.85,5.07,5.9,-7.8,124.8,-33.8,0.78,2023-12-05
Bhutan,3,,6.85,5.07,5.9,-7.8,124.8,-33.8,0.78,2023-12-06
Bhutan,3,,6.85,5.07,5.9,-7.8,124.8,-33.8,0.78,2023-12-07
Bhutan,3,,6.85,5.07,5.9,-7.8,124.8,-33.8,0.78,2023-12-08
Bhutan,3,,6.85,5.07,5.9,-7.8,124.8,-33.8,0.78,2023-12-09
Bhutan,3,,6.85,5.07,5.9,-7.8,124.8,-33.8,0.78,2023-12-10
Bhutan,3,,6.85,5.07,5.9,-7.8,124.8,-33.8,0.78,2023-12-11
Bhutan,3,,6.85,5.07,5.9,-7.8,124.8,-33.8,0.78,2023-12-12
Bhutan,3,,6.85,5.07,5.9,-7.8,124.8,-33.8,0.78,2023-12-13
Bhutan,3,,6.85,5.07,5.9,-7.8,124.8,-33.8,0.78,2023-12-14
Bhutan,3,,6.85,5.07,5.9,-7.8,124.8,-33.8,0.78,2023-12-15
Bhutan,3,,6.85,5.07,5.9,-7.8,124.8,-33.8,0.78,2023-12-16
