country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-11-23
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-11-24
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-11-25
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-11-26
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-11-27
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-11-28
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-11-29
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-11-30
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-12-01
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-12-02
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-12-03
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-12-04
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-12-05
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-12-06
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-12-07
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-12-08
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-12-09
Bolivia,43,14.04,3.82,2.08,2.8,-7.3,82.6,-1.5,12.01,2023-12-10
Bolivia,43,14.04,3.82,1.59,2.8,-7.3,82.6,-1.5,12.01,2023-12-11
Bolivia,43,14.04,3.23,1.59,2.8,-7.3,82.6,-1.5,12.01,2023-12-12
Bolivia,43,14.04,3.23,1.59,2.8,-7.3,82.6,-1.5,12.01,2023-12-13
Bolivia,43,14.04,3.23,1.59,2.8,-7.3,82.6,-1.5,12.01,2023-12-14
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-15
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-16
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-17
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-18
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-19
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-20
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-21
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-22
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-23
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-24
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-25
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-26
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-27
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-28
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-29
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-30
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2023-12-31
Bolivia,43,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2024-01-01
Bolivia,44,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2024-01-02
Bolivia,44,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2024-01-03
Bolivia,44,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2024-01-04
Bolivia,44,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2024-01-05
Bolivia,44,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2024-01-06
Bolivia,44,14.04,3.23,1.59,2.7,-7.3,82.6,-1.5,12.01,2024-01-07
Bolivia,44,14.04,3.23,2.12,2.7,-7.3,82.6,-1.5,12.01,2024-01-08
Bolivia,44,14.04,3.23,2.12,2.7,-7.3,82.6,-1.5,12.01,2024-01-09
Bolivia,44,14.04,3.23,2.12,2.7,-7.3,82.6,-1.5,12.01,2024-01-10
Bolivia,44,14.04,3.23,2.12,2.7,-7.3,82.6,-1.5,12.01,2024-01-11
Bolivia,44,14.04,3.23,2.12,2.7,-7.3,82.6,-1.5,12.01,2024-01-12
Bolivia,44,14.04,3.23,2.12,2.7,-7.3,82.6,-1.5,12.01,2024-01-13
Bolivia,44,14.04,3.23,2.12,2.7,-7.3,82.6,-1.5,12.01,2024-01-14
Bolivia,44,14.04,3.23,2.12,2.7,-7.3,82.6,-1.5,12.01,2024-01-15
