country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Bosnia and Herzegovina,25,1.0,4.01,4.09,13.1,-0.4,20.3,-4.5,3.44,2023-11-23
Bosnia and Herzegovina,25,1.0,4.01,4.09,13.1,-0.4,20.3,-4.5,3.44,2023-11-24
Bosnia and Herzegovina,25,1.0,4.01,4.09,13.1,-0.4,20.3,-4.5,3.44,2023-11-25
Bosnia and Herzegovina,25,1.0,4.01,4.09,13.1,-0.4,20.3,-4.5,3.44,2023-11-26
Bosnia and Herzegovina,25,1.0,4.01,2.1,13.1,-0.4,20.3,-4.5,3.44,2023-11-27
Bosnia and Herzegovina,25,1.0,4.01,2.1,13.1,-0.4,20.3,-4.5,3.44,2023-11-28
Bosnia and Herzegovina,25,1.0,4.01,2.1,13.1,-0.4,20.3,-4.5,3.44,2023-11-29
Bosnia and Herzegovina,25,1.0,4.01,2.1,13.1,-0.4,20.3,-4.5,3.44,2023-11-30
Bosnia and Herzegovina,25,1.0,4.01,2.1,13.1,-0.4,20.3,-4.5,3.44,2023-12-01
Bosnia and Herzegovina,25,1.0,4.01,2.1,13.1,-0.4,20.3,-4.5,3.44,2023-12-02
Bosnia and Herzegovina,25,1.0,4.01,2.1,13.1,-0.4,20.3,-4.5,3.44,2023-12-03
Bosnia and Herzegovina,25,1.0,4.01,2.13,13.1,-0.4,20.3,-4.5,3.44,2023-12-04
Bosnia and Herzegovina,25,1.0,4.01,2.13,13.1,-0.4,20.3,-4.5,3.44,2023-12-05
Bosnia and Herzegovina,25,1.0,4.01,2.13,13.1,-0.4,20.3,-4.5,3.44,2023-12-06
Bosnia and Herzegovina,25,1.0,4.01,2.13,13.1,-0.4,20.3,-4.5,3.44,2023-12-07
Bosnia and Herzegovina,25,1.0,4.01,2.13,13.1,-0.4,20.3,-4.5,3.44,2023-12-08
Bosnia and Herzegovina,25,1.0,4.01,2.13,13.1,-0.4,20.3,-4.5,3.44,2023-12-09
Bosnia and Herzegovina,25,1.0,4.01,2.13,13.1,-0.4,20.3,-4.5,3.44,2023-12-10
Bosnia and Herzegovina,25,1.0,4.01,2.13,13.1,-0.4,20.3,-4.5,3.44,2023-12-11
Bosnia and Herzegovina,25,1.0,4.01,2.13,13.1,-0.4,20.3,-4.5,3.44,2023-12-12
