country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-11-23
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-11-24
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-11-25
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-11-26
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-11-27
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-11-28
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-11-29
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-11-30
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-12-01
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-12-02
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-12-03
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-12-04
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-12-05
Botswana,20,-3.5,2.65,3.1,25.4,-3.2,26.1,2.2,2.34,2023-12-06
Botswana,20,-3.5,2.4,3.1,25.4,-3.2,26.1,2.2,2.34,2023-12-07
Botswana,20,-3.5,2.4,3.1,25.4,-3.2,26.1,2.2,2.34,2023-12-08
Botswana,20,-3.5,2.4,3.1,25.4,-3.2,26.1,2.2,2.34,2023-12-09
Botswana,20,-3.5,2.4,3.1,25.4,-3.2,26.1,2.2,2.34,2023-12-10
Botswana,20,-3.5,2.4,3.1,25.4,-3.2,26.1,2.2,2.34,2023-12-11
Botswana,20,-3.5,2.4,3.1,25.4,-3.2,26.1,2.2,2.34,2023-12-12
Botswana,20,-3.5,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-13
Botswana,20,-3.5,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-14
Botswana,20,-3.5,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-15
Botswana,20,-3.5,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-16
Botswana,20,-3.5,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-17
Botswana,20,-3.5,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-18
Botswana,20,-3.5,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-19
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-20
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-21
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-22
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-23
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-24
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-25
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-26
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-27
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-28
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-29
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-30
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2023-12-31
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-01
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-02
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-03
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-04
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-05
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-06
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-07
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-08
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-09
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-10
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-11
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-12
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-13
Botswana,20,0.9,2.4,3.9,25.4,-3.2,26.1,2.2,2.34,2024-01-14
Botswana,20,0.9,2.4,3.5,25.4,-3.2,26.1,2.2,2.34,2024-01-15
Botswana,20,0.9,2.4,3.5,25.4,-3.2,26.1,2.2,2.34,2024-01-16
Botswana,20,0.9,2.4,3.5,25.4,-3.2,26.1,2.2,2.34,2024-01-17
Botswana,20,0.9,2.4,3.5,25.4,-3.2,26.1,2.2,2.34,2024-01-18
Botswana,20,0.9,2.4,3.5,25.4,-3.2,26.1,2.2,2.34,2024-01-19
Botswana,20,0.9,2.4,3.5,25.4,-3.2,26.1,2.2,2.34,2024-01-20
Botswana,20,0.9,2.4,3.5,25.4,-3.2,26.1,2.2,2.34,2024-01-21
Botswana,20,0.9,2.4,3.5,25.4,-3.2,26.1,2.2,2.34,2024-01-22
Botswana,20,0.9,2.4,3.5,25.4,-3.2,26.1,2.2,2.34,2024-01-23
Botswana,20,0.9,2.4,3.5,25.4,-3.2,26.1,2.2,2.34,2024-01-24
Botswana,20,0.9,2.4,3.5,25.4,-3.2,26.1,2.2,2.34,2024-01-25
Botswana,20,0.9,2.4,3.5,25.4,-3.2,26.1,2.2,2.34,2024-01-26
