country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Brazil,1920,0.9,12.25,4.82,7.7,-4.6,72.87,-2.92,214.83,2023-11-23
Brazil,1920,0.9,12.25,4.82,7.7,-4.6,72.87,-2.92,214.83,2023-11-24
Brazil,1920,0.9,12.25,4.82,7.7,-4.6,72.87,-2.92,214.83,2023-11-25
Brazil,1920,0.9,12.25,4.82,7.7,-4.6,72.87,-2.92,214.83,2023-11-26
Brazil,1920,0.9,12.25,4.82,7.7,-4.6,72.87,-2.92,214.83,2023-11-27
Brazil,1920,0.9,12.25,4.82,7.7,-4.6,72.87,-2.92,214.83,2023-11-28
Brazil,1920,0.9,12.25,4.82,7.7,-4.6,72.87,-2.92,214.83,2023-11-29
Brazil,1920,0.9,12.25,4.82,7.6,-4.6,72.87,-2.92,214.83,2023-11-30
Brazil,1920,0.9,12.25,4.82,7.6,-4.6,72.87,-2.92,214.83,2023-12-01
Brazil,1920,0.9,12.25,4.82,7.6,-4.6,72.87,-2.92,214.83,2023-12-02
Brazil,1920,0.9,12.25,4.82,7.6,-4.6,72.87,-2.92,214.83,2023-12-03
Brazil,1920,0.9,12.25,4.82,7.6,-4.6,72.87,-2.92,214.83,2023-12-04
