country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Brunei,17,,5.5,0.1,7.2,-5.4,2.1,11.2,0.45,2023-11-23
Brunei,17,,5.5,0.1,7.2,-5.4,2.1,11.2,0.45,2023-11-24
Brunei,17,,5.5,0.1,7.2,-5.4,2.1,11.2,0.45,2023-11-25
Brunei,17,,5.5,0.1,7.2,-5.4,2.1,11.2,0.45,2023-11-26
Brunei,17,,5.5,-0.1,7.2,-5.4,2.1,11.2,0.45,2023-11-27
Brunei,17,,5.5,-0.1,7.2,-5.4,2.1,11.2,0.45,2023-11-28
Brunei,17,,5.5,-0.1,7.2,-5.4,2.1,11.2,0.45,2023-11-29
Brunei,17,,5.5,-0.1,7.2,-5.4,2.1,11.2,0.45,2023-11-30
Brunei,17,,5.5,-0.1,7.2,-5.4,2.1,11.2,0.45,2023-12-01
Brunei,17,,5.5,-0.1,7.2,-5.4,2.1,11.2,0.45,2023-12-02
Brunei,17,,5.5,-0.1,7.2,-5.4,2.1,11.2,0.45,2023-12-03
Brunei,17,,5.5,-0.1,7.2,-5.4,2.1,11.2,0.45,2023-12-04
