country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Bulgaria,89,0.4,3.53,5.8,5.3,-2.9,20.1,-1.4,6.44,2023-11-23
Bulgaria,89,0.4,3.53,5.8,5.3,-2.9,20.1,-1.4,6.44,2023-11-24
Bulgaria,89,0.4,3.53,5.8,5.3,-2.9,20.1,-1.4,6.44,2023-11-25
Bulgaria,89,0.4,3.53,5.8,5.3,-2.9,20.1,-1.4,6.44,2023-11-26
Bulgaria,89,0.4,3.64,5.8,5.3,-2.9,20.1,-1.4,6.44,2023-11-27
Bulgaria,89,0.4,3.64,5.8,5.3,-2.9,20.1,-1.4,6.44,2023-11-28
Bulgaria,89,0.4,3.64,5.8,5.3,-2.9,20.1,-1.4,6.44,2023-11-29
Bulgaria,89,0.4,3.64,5.8,5.3,-2.9,20.1,-1.4,6.44,2023-11-30
Bulgaria,89,0.4,3.64,5.8,5.3,-2.9,20.1,-1.4,6.44,2023-12-01
Bulgaria,89,0.4,3.64,5.8,5.3,-2.9,20.1,-1.4,6.44,2023-12-02
Bulgaria,89,0.4,3.64,5.8,5.3,-2.9,20.1,-1.4,6.44,2023-12-03
Bulgaria,89,0.4,3.64,5.8,5.5,-2.9,19.4,-1.4,6.44,2023-12-04
Bulgaria,89,0.4,3.64,5.8,5.5,-2.9,19.4,-1.4,6.44,2023-12-05
Bulgaria,89,0.4,3.64,5.8,5.5,-2.9,19.4,-1.4,6.44,2023-12-06
Bulgaria,89,0.4,3.64,5.8,5.5,-2.9,19.4,-1.4,6.44,2023-12-07
Bulgaria,89,0.4,3.64,5.8,5.5,-2.9,19.4,-1.4,6.44,2023-12-08
Bulgaria,89,0.4,3.64,5.8,5.5,-2.9,19.4,-1.4,6.44,2023-12-09
Bulgaria,89,0.4,3.64,5.8,5.5,-2.9,19.4,-1.4,6.44,2023-12-10
Bulgaria,89,0.4,3.64,5.8,5.5,-2.9,19.4,-1.4,6.44,2023-12-11
Bulgaria,89,0.4,3.64,5.8,5.5,-2.9,19.4,-1.4,6.44,2023-12-12
Bulgaria,89,0.4,3.64,5.8,5.5,-2.9,19.4,-1.4,6.44,2023-12-13
Bulgaria,89,0.4,3.64,5.8,5.5,-2.9,19.4,-1.4,6.44,2023-12-14
Bulgaria,89,0.4,3.64,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-15
Bulgaria,89,0.4,3.64,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-16
Bulgaria,89,0.4,3.64,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-17
Bulgaria,89,0.4,3.64,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-18
Bulgaria,89,0.4,3.64,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-19
Bulgaria,89,0.4,3.64,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-20
Bulgaria,89,0.4,3.64,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-21
Bulgaria,89,0.4,3.64,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-22
Bulgaria,89,0.4,3.64,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-23
Bulgaria,89,0.4,3.64,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-24
Bulgaria,89,0.4,3.64,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-25
Bulgaria,89,0.4,3.64,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-26
Bulgaria,89,0.4,3.64,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-27
Bulgaria,89,0.4,3.8,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-28
Bulgaria,89,0.4,3.8,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-29
Bulgaria,89,0.4,3.8,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-30
Bulgaria,89,0.4,3.8,5.4,5.5,-2.9,19.4,-1.4,6.44,2023-12-31
Bulgaria,89,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-01
Bulgaria,90,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-02
Bulgaria,90,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-03
Bulgaria,90,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-04
Bulgaria,90,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-05
Bulgaria,90,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-06
Bulgaria,90,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-07
Bulgaria,90,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-08
Bulgaria,90,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-09
Bulgaria,90,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-10
Bulgaria,90,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-11
Bulgaria,90,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-12
Bulgaria,90,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-13
Bulgaria,90,0.4,3.8,5.4,5.5,-2.9,21.8,-1.4,6.44,2024-01-14
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-15
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-16
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-17
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-18
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-19
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-20
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-21
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-22
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-23
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-24
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-25
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-26
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-27
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-28
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-29
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-30
Bulgaria,90,0.4,3.8,4.7,5.6,-2.9,21.8,-1.4,6.44,2024-01-31
Bulgaria,90,0.4,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-01
Bulgaria,90,0.4,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-02
Bulgaria,90,0.4,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-03
Bulgaria,90,0.4,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-04
Bulgaria,90,0.4,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-05
Bulgaria,90,0.4,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-06
Bulgaria,90,0.4,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-07
Bulgaria,90,0.4,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-08
Bulgaria,90,0.4,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-09
Bulgaria,90,0.4,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-10
Bulgaria,90,0.4,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-11
Bulgaria,90,0.4,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-12
Bulgaria,90,0.4,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-13
Bulgaria,90,0.5,3.79,4.7,5.6,-2.9,21.6,-1.4,6.44,2024-02-14
Bulgaria,90,0.5,3.79,3.8,5.6,-2.9,21.6,-1.4,6.44,2024-02-15
Bulgaria,90,0.5,3.79,3.8,5.8,-2.9,21.6,-1.4,6.44,2024-02-16
Bulgaria,90,0.5,3.79,3.8,5.8,-2.9,21.6,-1.4,6.44,2024-02-17
