country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-11-23
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-11-24
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-11-25
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-11-26
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-11-27
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-11-28
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-11-29
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-11-30
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-12-01
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-12-02
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-12-03
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-12-04
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-12-05
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-12-06
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-12-07
Burkina Faso,19,,5.25,-1.6,5.2,-8.5,54.3,-5.2,22.1,2023-12-08
