country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Burundi,3,,10.83,26.76,1.0,-8.5,14.5,-13.4,12.89,2023-11-23
Burundi,3,,10.83,26.76,1.0,-8.5,14.5,-13.4,12.89,2023-11-24
Burundi,3,,10.83,26.76,1.0,-8.5,14.5,-13.4,12.89,2023-11-25
Burundi,3,,10.83,26.76,1.0,-8.5,14.5,-13.4,12.89,2023-11-26
Burundi,3,,10.83,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-11-27
Burundi,3,,10.83,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-11-28
Burundi,3,,10.83,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-11-29
Burundi,3,,10.83,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-11-30
Burundi,3,,10.83,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-01
Burundi,3,,10.83,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-02
Burundi,3,,10.83,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-03
Burundi,3,,10.83,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-04
Burundi,3,,10.83,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-05
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-06
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-07
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-08
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-09
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-10
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-11
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-12
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-13
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-14
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-15
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-16
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-17
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-18
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-19
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-20
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-21
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-22
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-23
Burundi,3,,12.0,26.47,1.0,-8.5,14.5,-13.4,12.89,2023-12-24
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2023-12-25
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2023-12-26
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2023-12-27
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2023-12-28
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2023-12-29
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2023-12-30
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2023-12-31
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-01
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-02
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-03
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-04
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-05
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-06
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-07
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-08
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-09
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-10
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-11
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-12
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-13
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-14
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-15
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-16
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-17
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-18
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-19
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-20
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-21
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-22
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-23
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-24
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-25
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-26
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-27
Burundi,3,,12.0,20.38,1.0,-8.5,14.5,-13.4,12.89,2024-01-28
Burundi,3,,12.0,19.99,1.0,-8.5,14.5,-13.4,12.89,2024-01-29
Burundi,3,,12.0,19.99,1.0,-8.5,14.5,-13.4,12.89,2024-01-30
Burundi,3,,12.0,19.99,1.0,-8.5,14.5,-13.4,12.89,2024-01-31
Burundi,3,,12.0,19.99,1.0,-8.5,14.5,-13.4,12.89,2024-02-01
Burundi,3,,12.0,19.99,1.0,-8.5,14.5,-13.4,12.89,2024-02-02
Burundi,3,,12.0,19.99,1.0,-8.5,14.5,-13.4,12.89,2024-02-03
Burundi,3,,12.0,19.99,1.0,-8.5,14.5,-13.4,12.89,2024-02-04
Burundi,3,,12.0,19.99,1.0,-8.5,14.5,-13.4,12.89,2024-02-05
Burundi,3,,12.0,19.99,0.9,-8.5,14.5,-13.4,12.89,2024-02-06
Burundi,3,,12.0,19.99,0.9,-8.5,14.5,-13.4,12.89,2024-02-07
Burundi,3,,12.0,19.99,0.9,-8.5,14.5,-13.4,12.89,2024-02-08
Burundi,3,,12.0,19.99,0.9,-8.5,14.5,-13.4,12.89,2024-02-09
