country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-11-23
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-11-24
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-11-25
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-11-26
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-11-27
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-11-28
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-11-29
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-11-30
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-01
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-02
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-03
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-04
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-05
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-06
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-07
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-08
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-09
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-10
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-11
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-12
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-13
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-14
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-15
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-16
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-17
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-18
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-19
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-20
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-21
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-22
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-23
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-24
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-25
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-26
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-27
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-28
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-29
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-30
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2023-12-31
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2024-01-01
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2024-01-02
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2024-01-03
Cambodia,30,,0.87,3.2,0.36,-7.3,36.8,-26.9,16.77,2024-01-04
Cambodia,30,,0.87,2.7,0.36,-7.3,36.8,-26.9,16.77,2024-01-05
Cambodia,30,,0.87,2.7,0.36,-7.3,36.8,-26.9,16.77,2024-01-06
Cambodia,30,,0.87,2.7,0.36,-7.3,36.8,-26.9,16.77,2024-01-07
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-08
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-09
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-10
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-11
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-12
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-13
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-14
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-15
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-16
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-17
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-18
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-19
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-20
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-21
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-22
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-23
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-24
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-25
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-26
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-27
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-28
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-29
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-30
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-01-31
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-02-01
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-02-02
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-02-03
Cambodia,30,,0.89,2.7,0.36,1.45,36.8,-26.9,16.77,2024-02-04
