country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-11-23
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-11-24
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-11-25
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-11-26
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-11-27
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-11-28
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-11-29
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-11-30
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-12-01
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-12-02
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-12-03
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-12-04
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-12-05
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-12-06
Cameroon,44,2.7,5.0,-16.0,4.0,-1.9,46.4,-1.6,27.9,2023-12-07
Cameroon,44,2.7,5.0,6.9,4.0,-1.9,46.4,-1.6,27.9,2023-12-08
Cameroon,44,2.7,5.0,6.9,4.0,-1.9,46.4,-1.6,27.9,2023-12-09
Cameroon,44,2.7,5.0,6.9,4.0,-1.9,46.4,-1.6,27.9,2023-12-10
Cameroon,44,2.7,5.0,6.9,4.0,-1.9,46.4,-1.6,27.9,2023-12-11
Cameroon,44,2.7,5.0,6.9,4.0,-1.9,46.4,-1.6,27.9,2023-12-12
Cameroon,44,2.7,5.0,6.9,4.0,-1.9,46.4,-1.6,27.9,2023-12-13
Cameroon,44,2.7,5.0,6.9,4.0,-1.9,46.4,-1.6,27.9,2023-12-14
Cameroon,44,2.7,5.0,6.9,4.0,-1.9,46.4,-1.6,27.9,2023-12-15
Cameroon,44,2.7,5.0,6.9,4.0,-1.9,46.4,-1.6,27.9,2023-12-16
Cameroon,44,2.7,5.0,6.9,4.0,-1.9,46.4,-1.6,27.9,2023-12-17
Cameroon,44,2.7,5.0,-16.36,4.0,-1.9,46.4,-1.6,27.9,2023-12-18
Cameroon,44,2.7,5.0,-16.36,4.0,-1.9,46.4,-1.6,27.9,2023-12-19
Cameroon,44,2.7,5.0,-16.36,4.0,-1.9,46.4,-1.6,27.9,2023-12-20
Cameroon,44,2.7,5.0,-16.36,4.0,-1.9,46.4,-1.6,27.9,2023-12-21
