country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Canada,2140,0.0,5.0,3.1,5.7,-3.6,107.0,-0.4,39.29,2023-11-23
Canada,2140,0.0,5.0,3.1,5.7,-3.6,107.0,-0.4,39.29,2023-11-24
Canada,2140,0.0,5.0,3.1,5.7,-3.6,107.0,-0.4,39.29,2023-11-25
Canada,2140,0.0,5.0,3.1,5.7,-3.6,107.0,-0.4,39.29,2023-11-26
Canada,2140,0.0,5.0,3.1,5.7,-3.6,107.0,-0.4,39.29,2023-11-27
Canada,2140,0.0,5.0,3.1,5.7,-3.6,107.0,-0.4,39.29,2023-11-28
Canada,2140,0.0,5.0,3.1,5.7,-3.6,107.0,-0.4,39.29,2023-11-29
Canada,2140,-0.3,5.0,3.1,5.7,-3.6,107.0,-0.4,39.29,2023-11-30
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-01
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-02
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-03
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-04
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-05
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-06
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-07
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-08
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-09
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-10
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-11
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-12
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-13
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-14
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-15
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-16
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-17
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-18
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-19
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-20
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-21
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-22
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-23
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-24
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-25
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-26
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-27
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-28
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-29
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-30
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2023-12-31
Canada,2140,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2024-01-01
Canada,2138,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2024-01-02
Canada,2138,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2024-01-03
Canada,2138,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2024-01-04
Canada,2138,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2024-01-05
Canada,2138,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2024-01-06
Canada,2138,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2024-01-07
Canada,2138,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2024-01-08
Canada,2138,-0.3,5.0,3.1,5.8,-3.6,107.0,-0.4,39.29,2024-01-09
