country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-11-23
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-11-24
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-11-25
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-11-26
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-11-27
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-11-28
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-11-29
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-11-30
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-12-01
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-12-02
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-12-03
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-12-04
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-12-05
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-12-06
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-12-07
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-12-08
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-12-09
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-12-10
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-12-11
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-12-12
Cape Verde,2,-6.1,1.25,2.0,13.6,-4.2,127.2,-3.4,0.58,2023-12-13
Cape Verde,2,-6.1,1.25,1.3,13.6,-4.2,127.2,-3.4,0.58,2023-12-14
Cape Verde,2,-6.1,1.25,1.3,13.6,-4.2,127.2,-3.4,0.58,2023-12-15
Cape Verde,2,-6.1,1.25,1.3,13.6,-4.2,127.2,-3.4,0.58,2023-12-16
Cape Verde,2,-6.1,1.25,1.3,13.6,-4.2,127.2,-3.4,0.58,2023-12-17
