country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-11-23
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-11-24
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-11-25
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-11-26
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-11-27
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-11-28
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-11-29
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-11-30
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-12-01
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-12-02
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-12-03
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-12-04
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-12-05
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-12-06
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-12-07
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-12-08
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-12-09
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-12-10
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-12-11
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-12-12
Chad,13,,5.0,1.9,1.4,-0.2,50.4,0.5,17.41,2023-12-13
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-14
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-15
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-16
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-17
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-18
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-19
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-20
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-21
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-22
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-23
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-24
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-25
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-26
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-27
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-28
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-29
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-30
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2023-12-31
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2024-01-01
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2024-01-02
Chad,13,,5.0,1.9,1.4,4.2,48.8,0.5,17.41,2024-01-03
