country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Chile,301,0.3,9.0,5.0,8.91,1.1,38.0,-9.0,19.96,2023-11-23
Chile,301,0.3,9.0,5.0,8.91,1.1,38.0,-9.0,19.96,2023-11-24
Chile,301,0.3,9.0,5.0,8.91,1.1,38.0,-9.0,19.96,2023-11-25
Chile,301,0.3,9.0,5.0,8.91,1.1,38.0,-9.0,19.96,2023-11-26
Chile,301,0.3,9.0,5.0,8.91,1.1,38.0,-9.0,19.96,2023-11-27
Chile,301,0.3,9.0,5.0,8.91,1.1,38.0,-9.0,19.96,2023-11-28
Chile,301,0.3,9.0,5.0,8.9,1.1,38.0,-9.0,19.96,2023-11-29
Chile,301,0.3,9.0,5.0,8.9,1.1,38.0,-9.0,19.96,2023-11-30
Chile,301,0.3,9.0,5.0,8.9,1.1,38.0,-9.0,19.96,2023-12-01
Chile,301,0.3,9.0,5.0,8.9,1.1,38.0,-9.0,19.96,2023-12-02
Chile,301,0.3,9.0,5.0,8.9,1.1,38.0,-9.0,19.96,2023-12-03
Chile,301,0.3,9.0,5.0,8.89,1.1,38.0,-9.0,19.96,2023-12-04
Chile,301,0.3,9.0,5.0,8.89,1.1,38.0,-9.0,19.96,2023-12-05
Chile,301,0.3,9.0,5.0,8.89,1.1,38.0,-9.0,19.96,2023-12-06
Chile,301,0.3,9.0,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-07
Chile,301,0.3,9.0,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-08
Chile,301,0.3,9.0,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-09
Chile,301,0.3,9.0,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-10
Chile,301,0.3,9.0,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-11
Chile,301,0.3,9.0,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-12
Chile,301,0.3,9.0,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-13
Chile,301,0.3,9.0,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-14
Chile,301,0.3,9.0,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-15
Chile,301,0.3,9.0,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-16
Chile,301,0.3,9.0,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-17
Chile,301,0.3,9.0,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-18
Chile,301,0.3,8.25,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-19
Chile,301,0.3,8.25,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-20
Chile,301,0.3,8.25,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-21
Chile,301,0.3,8.25,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-22
Chile,301,0.3,8.25,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-23
Chile,301,0.3,8.25,4.8,8.89,1.1,38.0,-9.0,19.96,2023-12-24
