country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-11-23
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-11-24
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-11-25
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-11-26
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-11-27
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-11-28
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-11-29
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-11-30
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-12-01
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-12-02
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-12-03
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-12-04
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-12-05
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-12-06
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-12-07
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-12-08
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-12-09
China,17963,1.3,3.45,-0.2,5.0,-7.4,77.1,2.2,1411.75,2023-12-10
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-11
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-12
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-13
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-14
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-15
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-16
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-17
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-18
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-19
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-20
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-21
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-22
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-23
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-24
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-25
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-26
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-27
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-28
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-29
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-30
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2023-12-31
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2024-01-01
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2024-01-02
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2024-01-03
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2024-01-04
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2024-01-05
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2024-01-06
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2024-01-07
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2024-01-08
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2024-01-09
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2024-01-10
China,17963,1.3,3.45,-0.5,5.0,-7.4,77.1,2.2,1411.75,2024-01-11
China,17963,1.3,3.45,-0.3,5.0,-7.4,77.1,2.2,1411.75,2024-01-12
China,17963,1.3,3.45,-0.3,5.0,-7.4,77.1,2.2,1411.75,2024-01-13
China,17963,1.3,3.45,-0.3,5.0,-7.4,77.1,2.2,1411.75,2024-01-14
China,17963,1.3,3.45,-0.3,5.0,-7.4,77.1,2.2,1411.75,2024-01-15
China,17963,1.3,3.45,-0.3,5.0,-7.4,77.1,2.2,1411.75,2024-01-16
China,17963,1.0,3.45,-0.3,5.1,-7.4,77.1,2.2,1409.67,2024-01-17
China,17963,1.0,3.45,-0.3,5.1,-7.4,77.1,2.2,1409.67,2024-01-18
