country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Colombia,344,0.2,13.25,10.48,9.25,-4.3,63.6,-6.2,51.87,2023-11-23
Colombia,344,0.2,13.25,10.48,9.25,-4.3,63.6,-6.2,51.87,2023-11-24
Colombia,344,0.2,13.25,10.48,9.25,-4.3,63.6,-6.2,51.87,2023-11-25
Colombia,344,0.2,13.25,10.48,9.25,-4.3,63.6,-6.2,51.87,2023-11-26
Colombia,344,0.2,13.25,10.48,9.25,-4.3,63.6,-6.2,51.87,2023-11-27
Colombia,344,0.2,13.25,10.48,9.25,-4.3,63.6,-6.2,51.87,2023-11-28
Colombia,344,0.2,13.25,10.48,9.25,-4.3,63.6,-6.2,51.87,2023-11-29
Colombia,344,0.2,13.25,10.48,9.2,-4.3,63.6,-6.2,51.87,2023-11-30
Colombia,344,0.2,13.25,10.48,9.2,-4.3,63.6,-6.2,51.87,2023-12-01
Colombia,344,0.2,13.25,10.48,9.2,-4.3,63.6,-6.2,51.87,2023-12-02
Colombia,344,0.2,13.25,10.48,9.2,-4.3,63.6,-6.2,51.87,2023-12-03
Colombia,344,0.2,13.25,10.48,9.23,-4.3,63.6,-6.2,51.87,2023-12-04
Colombia,344,0.2,13.25,10.48,9.23,-4.3,63.6,-6.2,51.87,2023-12-05
Colombia,344,0.2,13.25,10.48,9.23,-4.3,63.6,-6.2,51.87,2023-12-06
Colombia,344,0.2,13.25,10.48,9.23,-4.3,63.6,-6.2,51.87,2023-12-07
Colombia,344,0.2,13.25,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-08
Colombia,344,0.2,13.25,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-09
Colombia,344,0.2,13.25,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-10
Colombia,344,0.2,13.25,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-11
Colombia,344,0.2,13.25,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-12
Colombia,344,0.2,13.25,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-13
Colombia,344,0.2,13.25,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-14
Colombia,344,0.2,13.25,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-15
Colombia,344,0.2,13.25,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-16
Colombia,344,0.2,13.25,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-17
Colombia,344,0.2,13.25,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-18
Colombia,344,0.2,13.0,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-19
Colombia,344,0.2,13.0,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-20
Colombia,344,0.2,13.0,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-21
Colombia,344,0.2,13.0,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-22
Colombia,344,0.2,13.0,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-23
Colombia,344,0.2,13.0,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-24
Colombia,344,0.2,13.0,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-25
Colombia,344,0.2,13.0,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-26
Colombia,344,0.2,13.0,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-27
Colombia,344,0.2,13.0,10.15,9.23,-4.3,63.6,-6.2,51.87,2023-12-28
Colombia,344,0.2,13.0,10.15,9.0,-4.3,63.6,-6.2,51.87,2023-12-29
Colombia,344,0.2,13.0,10.15,9.0,-4.3,63.6,-6.2,51.87,2023-12-30
Colombia,344,0.2,13.0,10.15,9.0,-4.3,63.6,-6.2,51.87,2023-12-31
Colombia,344,0.2,13.0,10.15,9.01,-4.3,63.6,-6.2,51.87,2024-01-01
Colombia,344,0.2,13.0,10.15,9.01,-4.3,63.6,-6.2,51.87,2024-01-02
Colombia,344,0.2,13.0,10.15,9.01,-4.3,63.6,-6.2,51.87,2024-01-03
Colombia,344,0.2,13.0,10.15,9.01,-4.3,63.6,-6.2,51.87,2024-01-04
Colombia,344,0.2,13.0,10.15,9.01,-4.3,63.6,-6.2,51.87,2024-01-05
Colombia,344,0.2,13.0,10.15,9.01,-4.3,63.6,-6.2,51.87,2024-01-06
Colombia,344,0.2,13.0,10.15,9.01,-4.3,63.6,-6.2,51.87,2024-01-07
Colombia,344,0.2,13.0,10.15,9.01,-4.3,63.6,-6.2,51.87,2024-01-08
Colombia,344,0.2,13.0,10.15,9.01,-4.3,63.6,-6.2,51.87,2024-01-09
Colombia,344,0.2,13.0,9.28,9.01,-4.3,63.6,-6.2,51.87,2024-01-10
Colombia,344,0.2,13.0,9.28,9.01,-4.3,63.6,-6.2,51.87,2024-01-11
Colombia,344,0.2,13.0,9.28,9.01,-4.3,63.6,-6.2,51.87,2024-01-12
Colombia,344,0.2,13.0,9.28,9.01,-4.3,63.6,-6.2,51.87,2024-01-13
Colombia,344,0.2,13.0,9.28,9.01,-4.3,63.6,-6.2,51.87,2024-01-14
Colombia,344,0.2,13.0,9.28,9.01,-4.3,63.6,-6.2,51.87,2024-01-15
Colombia,344,0.2,13.0,9.28,9.01,-4.3,63.6,-6.2,51.87,2024-01-16
Colombia,344,0.2,13.0,9.28,9.01,-4.3,63.6,-6.2,51.87,2024-01-17
