country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-11-23
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-11-24
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-11-25
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-11-26
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-11-27
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-11-28
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-11-29
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-11-30
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-01
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-02
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-03
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-04
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-05
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-06
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-07
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-08
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-09
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-10
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-11
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-12
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-13
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-14
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-15
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-16
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-17
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-18
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-19
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-20
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-21
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-22
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-23
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-24
Comoros,1,,3.08,8.0,8.8,-3.0,31.6,-0.5,0.84,2023-12-25
