country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-11-23
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-11-24
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-11-25
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-11-26
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-11-27
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-11-28
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-11-29
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-11-30
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-01
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-02
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-03
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-04
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-05
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-06
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-07
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-08
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-09
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-10
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-11
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-12
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-13
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-14
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-15
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-16
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-17
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-18
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-19
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-20
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-21
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-22
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-23
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-24
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-25
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-26
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-27
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-28
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-29
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-30
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2023-12-31
Congo,58,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2024-01-01
Congo,65,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2024-01-02
Congo,65,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2024-01-03
Congo,65,,25.0,37.6,46.1,-2.8,14.6,-6.4,95.01,2024-01-04
Congo,65,,25.0,42.5,46.1,-2.8,14.6,-6.4,95.01,2024-01-05
Congo,65,,25.0,42.5,46.1,-2.8,14.6,-6.4,95.01,2024-01-06
Congo,65,,25.0,42.5,46.1,-2.8,14.6,-6.4,95.01,2024-01-07
Congo,65,,25.0,42.5,46.1,-2.8,14.6,-6.4,95.01,2024-01-08
Congo,65,,25.0,42.5,46.1,-2.8,14.6,-6.4,95.01,2024-01-09
Congo,65,,25.0,42.5,46.1,-2.8,14.6,-6.4,95.01,2024-01-10
Congo,65,,25.0,42.5,46.1,-2.8,14.6,-6.4,95.01,2024-01-11
Congo,65,,25.0,42.5,46.1,-2.8,14.6,-6.4,95.01,2024-01-12
Congo,65,,25.0,42.5,46.1,-2.8,14.6,-6.4,95.01,2024-01-13
