country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Croatia,71,1.1,4.5,5.8,6.2,0.1,68.8,-2.8,3.85,2023-11-23
Croatia,71,1.1,4.5,5.8,6.2,0.1,68.8,-2.8,3.85,2023-11-24
Croatia,71,1.1,4.5,5.8,6.2,0.1,68.8,-2.8,3.85,2023-11-25
Croatia,71,1.1,4.5,5.8,6.2,0.1,68.8,-2.8,3.85,2023-11-26
Croatia,71,1.1,4.5,5.8,6.2,0.1,68.8,-2.8,3.85,2023-11-27
Croatia,71,0.3,4.5,5.8,6.2,0.1,68.8,-2.8,3.85,2023-11-28
Croatia,71,0.3,4.5,5.8,6.2,0.1,68.8,-2.8,3.85,2023-11-29
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-11-30
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-01
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-02
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-03
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-04
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-05
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-06
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-07
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-08
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-09
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-10
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-11
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-12
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-13
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-14
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-15
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-16
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-17
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-18
Croatia,71,0.3,4.5,4.7,6.2,0.1,68.8,-2.8,3.85,2023-12-19
Croatia,71,0.3,4.5,4.7,6.4,0.1,68.8,-2.8,3.85,2023-12-20
Croatia,71,0.3,4.5,4.7,6.4,0.1,68.8,-2.8,3.85,2023-12-21
Croatia,71,0.3,4.5,4.7,6.4,0.1,68.8,-2.8,3.85,2023-12-22
Croatia,71,0.3,4.5,4.7,6.4,0.1,68.8,-2.8,3.85,2023-12-23
Croatia,71,0.3,4.5,4.7,6.4,0.1,68.8,-2.8,3.85,2023-12-24
Croatia,71,0.3,4.5,4.7,6.4,0.1,68.8,-2.8,3.85,2023-12-25
