country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-11-23
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-11-24
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-11-25
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-11-26
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-11-27
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-11-28
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-11-29
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-11-30
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-01
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-02
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-03
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-04
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-05
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-06
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-07
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-08
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-09
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-10
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-11
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-12
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-13
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-14
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-15
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-16
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-17
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-18
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-19
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-20
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-21
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-22
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-23
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-24
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-25
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-26
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-27
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-28
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-29
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-30
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2023-12-31
Cuba,107,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2024-01-01
Cuba,633,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2024-01-02
Cuba,633,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2024-01-03
Cuba,633,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2024-01-04
Cuba,633,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2024-01-05
Cuba,633,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2024-01-06
Cuba,633,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2024-01-07
Cuba,633,,2.25,34.13,2.8,-11.7,119.0,0.9,11.17,2024-01-08
Cuba,633,,2.25,34.13,1.8,-11.1,119.0,-0.5,11.09,2024-01-09
Cuba,633,,2.25,34.13,1.8,-11.1,119.0,-0.5,11.09,2024-01-10
Cuba,633,,2.25,34.13,1.8,-11.1,119.0,-0.5,11.09,2024-01-11
Cuba,633,,2.25,34.13,1.8,-11.1,119.0,-0.5,11.09,2024-01-12
Cuba,633,,2.25,34.13,1.8,-11.1,119.0,-0.5,11.09,2024-01-13
Cuba,633,,2.25,34.13,1.8,-11.1,119.0,-0.5,11.09,2024-01-14
Cuba,633,,2.25,34.13,1.8,-11.1,119.0,-0.5,11.09,2024-01-15
Cuba,633,,2.25,31.78,1.8,-11.1,119.0,-0.5,11.09,2024-01-16
Cuba,633,,2.25,31.78,1.8,-11.1,119.0,-0.5,11.09,2024-01-17
Cuba,633,,2.25,31.78,1.8,-11.1,119.0,-0.5,11.09,2024-01-18
Cuba,633,,2.25,31.78,1.8,-11.1,119.0,-0.5,11.09,2024-01-19
Cuba,633,,2.25,31.78,1.8,-11.1,119.0,-0.5,11.09,2024-01-20
Cuba,633,,2.25,31.78,1.8,-11.1,119.0,-0.5,11.09,2024-01-21
Cuba,633,,2.25,31.78,1.8,-11.1,119.0,-0.5,11.09,2024-01-22
