country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-11-23
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-11-24
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-11-25
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-11-26
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-11-27
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-11-28
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-11-29
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-11-30
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-12-01
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-12-02
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-12-03
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-12-04
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-12-05
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-12-06
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-12-07
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-12-08
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-12-09
Djibouti,4,,11.2,1.2,27.9,-1.4,47.0,-5.0,1.12,2023-12-10
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-11
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-12
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-13
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-14
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-15
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-16
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-17
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-18
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-19
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-20
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-21
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-22
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-23
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-24
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-25
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-26
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-27
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-28
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-29
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-30
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2023-12-31
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-01
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-02
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-03
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-04
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-05
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-06
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-07
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-08
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-09
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-10
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-11
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-12
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-13
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-14
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-15
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-16
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-17
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-18
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-19
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-20
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-21
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-22
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-23
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-24
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-25
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-26
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-27
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-28
Djibouti,4,,11.2,2.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-29
Djibouti,4,,11.2,3.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-30
Djibouti,4,,11.2,3.6,27.9,-1.4,47.0,-5.0,1.12,2024-01-31
Djibouti,4,,11.2,3.6,27.9,-1.4,47.0,-5.0,1.12,2024-02-01
Djibouti,4,,11.2,3.6,27.9,-1.4,47.0,-5.0,1.12,2024-02-02
Djibouti,4,,11.2,3.6,27.9,-1.4,47.0,-5.0,1.12,2024-02-03
Djibouti,4,,11.2,3.6,27.9,-1.4,47.0,-5.0,1.12,2024-02-04
