country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Dominican Republic,114,1.0,7.25,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-11-23
Dominican Republic,114,1.0,7.25,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-11-24
Dominican Republic,114,1.0,7.25,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-11-25
Dominican Republic,114,1.0,7.25,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-11-26
Dominican Republic,114,1.0,7.25,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-11-27
Dominican Republic,114,1.0,7.25,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-11-28
Dominican Republic,114,1.0,7.25,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-11-29
Dominican Republic,114,1.0,7.0,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-11-30
Dominican Republic,114,1.0,7.0,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-12-01
Dominican Republic,114,1.0,7.0,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-12-02
Dominican Republic,114,1.0,7.0,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-12-03
Dominican Republic,114,1.0,7.0,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-12-04
Dominican Republic,114,1.0,7.0,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-12-05
Dominican Republic,114,1.0,7.0,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-12-06
Dominican Republic,114,1.0,7.0,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-12-07
Dominican Republic,114,1.0,7.0,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-12-08
Dominican Republic,114,1.0,7.0,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-12-09
Dominican Republic,114,1.0,7.0,4.35,5.6,-3.34,58.56,-5.8,10.62,2023-12-10
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-11
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-12
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-13
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-14
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-15
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-16
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-17
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-18
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-19
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-20
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-21
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-22
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-23
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-24
Dominican Republic,114,1.0,7.0,4.0,5.6,-3.34,58.56,-5.8,10.62,2023-12-25
Dominican Republic,114,1.0,7.0,4.0,5.4,-3.34,58.56,-5.8,10.62,2023-12-26
Dominican Republic,114,1.0,7.0,4.0,5.4,-3.34,58.56,-5.8,10.62,2023-12-27
Dominican Republic,114,1.0,7.0,4.0,5.4,-3.34,58.56,-5.8,10.62,2023-12-28
Dominican Republic,114,1.0,7.0,4.0,5.4,-3.34,58.56,-5.8,10.62,2023-12-29
