country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-11-23
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-11-24
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-11-25
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-11-26
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-11-27
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-11-28
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-11-29
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-11-30
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-12-01
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-12-02
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-12-03
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-12-04
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-12-05
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-12-06
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-12-07
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-12-08
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-12-09
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-12-10
East Timor,3,,,8.7,4.9,-4.0,,-11.6,1.34,2023-12-11
