country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Ecuador,115,2.51,9.48,1.93,4.8,-0.86,56.0,2.2,18.0,2023-11-23
Ecuador,115,2.51,9.48,1.93,4.8,-0.86,56.0,2.2,18.0,2023-11-24
Ecuador,115,2.51,9.48,1.93,4.8,-0.86,56.0,2.2,18.0,2023-11-25
Ecuador,115,2.51,9.48,1.93,4.8,-0.86,56.0,2.2,18.0,2023-11-26
Ecuador,115,2.51,9.48,1.93,4.8,-0.86,56.0,2.2,18.0,2023-11-27
Ecuador,115,2.51,9.48,1.93,4.8,-0.86,56.0,2.2,18.0,2023-11-28
Ecuador,115,2.51,9.48,1.93,4.8,-0.86,56.0,2.2,18.0,2023-11-29
Ecuador,115,2.51,9.8,1.93,4.8,-0.86,56.0,2.2,18.0,2023-11-30
Ecuador,115,2.51,9.94,1.93,4.8,-0.86,56.0,2.2,18.0,2023-12-01
Ecuador,115,2.51,9.94,1.93,4.8,-0.86,56.0,2.2,18.0,2023-12-02
Ecuador,115,2.51,9.94,1.93,4.8,-0.86,56.0,2.2,18.0,2023-12-03
Ecuador,115,2.51,9.94,1.93,4.8,-0.86,56.0,2.2,18.0,2023-12-04
Ecuador,115,2.51,9.94,1.93,4.8,-0.86,56.0,2.2,18.0,2023-12-05
Ecuador,115,2.51,9.94,1.53,4.8,-0.86,56.0,2.2,18.0,2023-12-06
Ecuador,115,2.51,9.94,1.53,4.8,-0.86,56.0,2.2,18.0,2023-12-07
Ecuador,115,2.51,9.94,1.53,4.8,-0.86,56.0,2.2,18.0,2023-12-08
Ecuador,115,2.51,9.94,1.53,4.8,-0.86,56.0,2.2,18.0,2023-12-09
Ecuador,115,2.51,9.94,1.53,4.8,-0.86,56.0,2.2,18.0,2023-12-10
Ecuador,115,2.51,9.94,1.53,4.8,-0.86,56.0,2.2,18.0,2023-12-11
Ecuador,115,2.51,9.94,1.53,4.8,-0.86,56.0,2.2,18.0,2023-12-12
Ecuador,115,2.51,9.94,1.53,4.6,-0.86,56.0,2.2,18.0,2023-12-13
Ecuador,115,2.51,9.94,1.53,4.6,-0.86,56.0,2.2,18.0,2023-12-14
Ecuador,115,2.51,9.94,1.53,4.6,-0.86,56.0,2.2,18.0,2023-12-15
Ecuador,115,2.51,9.94,1.53,4.6,-0.86,56.0,2.2,18.0,2023-12-16
