country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-11-23
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-11-24
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-11-25
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-11-26
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-11-27
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-11-28
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-11-29
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-11-30
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-12-01
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-12-02
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-12-03
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-12-04
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-12-05
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-12-06
El Salvador,32,1.2,5.02,2.67,5.0,-1.81,78.03,-8.3,6.34,2023-12-07
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-08
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-09
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-10
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-11
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-12
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-13
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-14
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-15
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-16
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-17
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-18
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-19
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-20
El Salvador,32,1.2,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-21
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-22
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-23
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-24
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-25
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-26
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-27
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-28
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-29
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-30
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2023-12-31
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2024-01-01
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2024-01-02
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2024-01-03
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2024-01-04
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2024-01-05
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2024-01-06
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2024-01-07
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2024-01-08
El Salvador,32,0.66,5.02,2.11,5.0,-1.81,78.03,-8.3,6.34,2024-01-09
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-10
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-11
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-12
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-13
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-14
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-15
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-16
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-17
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-18
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-19
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-20
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-21
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-22
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-23
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-24
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-25
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-26
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-27
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-28
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-29
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-30
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-01-31
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-02-01
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-02-02
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-02-03
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-02-04
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-02-05
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-02-06
El Salvador,32,0.66,5.02,1.23,5.0,-1.81,78.03,-8.3,6.34,2024-02-07
El Salvador,32,0.66,5.02,1.2,5.0,-1.81,78.03,-8.3,6.34,2024-02-08
El Salvador,32,0.66,5.02,1.2,5.0,-1.81,78.03,-8.3,6.34,2024-02-09
El Salvador,32,0.66,5.02,1.2,5.0,-1.81,78.03,-8.3,6.34,2024-02-10
El Salvador,32,0.66,5.02,1.2,5.0,-1.81,78.03,-8.3,6.34,2024-02-11
El Salvador,32,0.66,5.02,1.21,5.0,-1.81,78.03,-8.3,6.34,2024-02-12
El Salvador,32,0.66,5.02,1.21,5.0,-1.81,78.03,-8.3,6.34,2024-02-13
El Salvador,32,0.66,5.02,1.21,5.0,-1.81,78.03,-8.3,6.34,2024-02-14
El Salvador,32,0.66,5.02,1.21,5.0,-1.81,78.03,-8.3,6.34,2024-02-15
El Salvador,32,0.66,5.02,1.21,5.0,-1.81,78.03,-8.3,6.34,2024-02-16
El Salvador,32,0.66,5.02,1.21,5.0,-1.81,78.03,-8.3,6.34,2024-02-17
El Salvador,32,0.66,5.02,1.21,5.0,-1.81,78.03,-8.3,6.34,2024-02-18
El Salvador,32,0.66,5.02,1.21,5.0,-1.81,78.03,-8.3,6.34,2024-02-19
El Salvador,32,0.66,5.02,1.21,5.0,-1.81,78.03,-8.3,6.34,2024-02-20
El Salvador,32,0.66,5.02,1.21,5.0,-1.81,78.03,-8.3,6.34,2024-02-21
