country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-11-23
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-11-24
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-11-25
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-11-26
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-11-27
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-11-28
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-11-29
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-11-30
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-01
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-02
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-03
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-04
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-05
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-06
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-07
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-08
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-09
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-10
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-11
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-12
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-13
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-14
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-15
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-16
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-17
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-18
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-19
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-20
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-21
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-22
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-23
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-24
Equatorial Guinea,12,,5.0,5.0,8.7,4.8,27.1,3.9,1.67,2023-12-25
