country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Estonia,38,-0.2,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-11-23
Estonia,38,-0.2,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-11-24
Estonia,38,-0.2,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-11-25
Estonia,38,-0.2,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-11-26
Estonia,38,-0.2,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-11-27
Estonia,38,-0.2,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-11-28
Estonia,38,-0.2,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-11-29
Estonia,38,-1.3,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-11-30
Estonia,38,-1.3,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-12-01
Estonia,38,-1.3,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-12-02
Estonia,38,-1.3,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-12-03
Estonia,38,-1.3,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-12-04
Estonia,38,-1.3,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-12-05
Estonia,38,-1.3,4.5,4.9,7.3,-1.0,18.5,-3.2,1.33,2023-12-06
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-07
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-08
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-09
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-10
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-11
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-12
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-13
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-14
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-15
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-16
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-17
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-18
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-19
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-20
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-21
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-22
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-23
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-24
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-25
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-26
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-27
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-28
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-29
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-30
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2023-12-31
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-01
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-02
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-03
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-04
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-05
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-06
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-07
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-08
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-09
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-10
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-11
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-12
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-13
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-14
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-15
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-16
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-17
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.33,2024-01-18
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-01-19
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-01-20
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-01-21
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-01-22
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-01-23
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-01-24
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-01-25
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-01-26
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-01-27
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-01-28
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-01-29
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-01-30
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-01-31
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-02-01
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-02-02
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-02-03
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-02-04
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-02-05
Estonia,38,-1.3,4.5,4.0,7.3,-1.0,18.5,-3.2,1.37,2024-02-06
Estonia,38,-1.3,4.5,4.7,7.3,-1.0,18.5,-3.2,1.37,2024-02-07
