country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-11-23
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-11-24
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-11-25
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-11-26
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-11-27
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-11-28
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-11-29
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-11-30
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-12-01
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-12-02
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-12-03
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-12-04
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-12-05
Ethiopia,127,,7.0,29.2,19.1,-4.2,31.4,-4.3,123.38,2023-12-06
