country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Euro Area,14041,-0.1,4.5,2.9,6.5,-3.6,90.9,-0.6,342.89,2023-11-23
Euro Area,14041,-0.1,4.5,2.9,6.5,-3.6,90.9,-0.6,342.89,2023-11-24
Euro Area,14041,-0.1,4.5,2.9,6.5,-3.6,90.9,-0.6,342.89,2023-11-25
Euro Area,14041,-0.1,4.5,2.9,6.5,-3.6,90.9,-0.6,342.89,2023-11-26
Euro Area,14041,-0.1,4.5,2.9,6.5,-3.6,90.9,-0.6,342.89,2023-11-27
Euro Area,14041,-0.1,4.5,2.9,6.5,-3.6,90.9,-0.6,342.89,2023-11-28
Euro Area,14041,-0.1,4.5,2.9,6.5,-3.6,90.9,-0.6,342.89,2023-11-29
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-11-30
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-01
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-02
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-03
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-04
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-05
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-06
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-07
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-08
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-09
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-10
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-11
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-12
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-13
Euro Area,14041,-0.1,4.5,2.4,6.5,-3.6,90.9,-0.6,342.89,2023-12-14
