country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-11-23
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-11-24
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-11-25
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-11-26
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-11-27
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-11-28
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-11-29
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-11-30
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-01
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-02
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-03
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-04
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-05
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-06
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-07
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-08
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-09
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-10
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-11
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-12
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-13
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-14
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-15
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-16
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-17
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-18
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-19
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-20
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-21
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-22
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-23
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-24
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-25
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-26
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-27
Fiji,5,,0.25,4.0,4.3,-12.2,91.1,-12.1,0.93,2023-12-28
Fiji,5,,0.25,5.8,4.3,-12.2,91.1,-12.1,0.93,2023-12-29
Fiji,5,,0.25,5.8,4.3,-12.2,91.1,-12.1,0.93,2023-12-30
Fiji,5,,0.25,5.8,4.3,-12.2,91.1,-12.1,0.93,2023-12-31
Fiji,5,,0.25,5.8,4.3,-12.2,91.1,-12.1,0.93,2024-01-01
Fiji,5,,0.25,5.8,4.3,-12.2,91.1,-12.1,0.93,2024-01-02
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-03
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-04
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-05
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-06
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-07
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-08
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-09
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-10
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-11
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-12
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-13
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-14
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-15
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-16
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-17
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-18
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-19
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-20
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-21
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-22
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-23
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-24
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-25
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-26
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-27
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-28
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-29
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-30
Fiji,5,,0.25,5.1,4.3,-12.2,91.1,-12.1,0.93,2024-01-31
