country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-11-23
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-11-24
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-11-25
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-11-26
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-11-27
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-11-28
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-11-29
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-11-30
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-12-01
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-12-02
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-12-03
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-12-04
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-12-05
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-12-06
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-12-07
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-12-08
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-12-09
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-12-10
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-12-11
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-12-12
Finland,281,-0.9,4.5,4.9,6.8,-0.8,73.3,-2.5,5.56,2023-12-13
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-14
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-15
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-16
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-17
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-18
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-19
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-20
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-21
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-22
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-23
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-24
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-25
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-26
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-27
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-28
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-29
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-30
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2023-12-31
Finland,281,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2024-01-01
Finland,283,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2024-01-02
Finland,283,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2024-01-03
Finland,283,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2024-01-04
Finland,283,-0.9,4.5,3.3,6.8,-0.8,73.3,-2.5,5.56,2024-01-05
