country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
France,2783,0.1,4.5,4.0,7.4,-4.8,111.8,-2.0,67.84,2023-11-23
France,2783,0.1,4.5,4.0,7.4,-4.8,111.8,-2.0,67.84,2023-11-24
France,2783,0.1,4.5,4.0,7.4,-4.8,111.8,-2.0,67.84,2023-11-25
France,2783,0.1,4.5,4.0,7.4,-4.8,111.8,-2.0,67.84,2023-11-26
France,2783,0.1,4.5,4.0,7.4,-4.8,111.8,-2.0,67.84,2023-11-27
France,2783,0.1,4.5,4.0,7.4,-4.8,111.8,-2.0,67.84,2023-11-28
France,2783,0.1,4.5,4.0,7.4,-4.8,111.8,-2.0,67.84,2023-11-29
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-11-30
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-12-01
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-12-02
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-12-03
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-12-04
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-12-05
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-12-06
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-12-07
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-12-08
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-12-09
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-12-10
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-12-11
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-12-12
France,2783,-0.1,4.5,3.4,7.4,-4.8,111.8,-2.0,67.84,2023-12-13
