country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-11-23
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-11-24
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-11-25
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-11-26
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-11-27
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-11-28
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-11-29
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-11-30
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-12-01
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-12-02
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-12-03
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-12-04
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-12-05
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-12-06
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-12-07
Gabon,21,,5.0,2.9,21.5,0.8,55.1,1.2,2.39,2023-12-08
