country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-11-23
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-11-24
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-11-25
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-11-26
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-11-27
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-11-28
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-11-29
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-11-30
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-01
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-02
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-03
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-04
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-05
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-06
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-07
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-08
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-09
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-10
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-11
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-12
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-13
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-14
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-15
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-16
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-17
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-18
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-19
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-20
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-21
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-22
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-23
Gambia,2,,17.0,18.05,4.8,-4.8,80.8,-5.3,2.42,2023-12-24
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2023-12-25
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2023-12-26
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2023-12-27
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2023-12-28
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2023-12-29
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2023-12-30
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2023-12-31
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2024-01-01
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2024-01-02
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2024-01-03
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2024-01-04
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2024-01-05
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2024-01-06
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-5.3,2.42,2024-01-07
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-08
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-09
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-10
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-11
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-12
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-13
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-14
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-15
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-16
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-17
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-18
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-19
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-20
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-21
Gambia,2,,17.0,18.4,4.8,-4.8,80.8,-4.1,2.42,2024-01-22
Gambia,2,,17.0,17.3,4.8,-4.8,80.8,-4.1,2.42,2024-01-23
Gambia,2,,17.0,17.3,4.8,-4.8,80.8,-4.1,2.42,2024-01-24
Gambia,2,,17.0,17.3,4.8,-4.8,80.8,-4.1,2.42,2024-01-25
Gambia,2,,17.0,17.3,4.8,-4.8,80.8,-4.1,2.42,2024-01-26
Gambia,2,,17.0,17.3,4.8,-4.8,80.8,-4.1,2.42,2024-01-27
Gambia,2,,17.0,17.3,4.8,-4.8,80.8,-4.1,2.42,2024-01-28
