country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Georgia,25,,10.0,0.8,15.6,-3.0,39.8,-3.1,3.69,2023-11-23
Georgia,25,,10.0,0.8,15.6,-3.0,39.8,-3.1,3.69,2023-11-24
Georgia,25,,10.0,0.8,15.6,-3.0,39.8,-3.1,3.69,2023-11-25
Georgia,25,,10.0,0.8,15.6,-3.0,39.8,-3.1,3.69,2023-11-26
Georgia,25,,10.0,0.8,15.6,-3.0,39.8,-3.1,3.69,2023-11-27
Georgia,25,,10.0,0.8,15.6,-3.0,39.8,-3.1,3.69,2023-11-28
Georgia,25,,10.0,0.8,15.6,-3.0,39.8,-3.1,3.69,2023-11-29
Georgia,25,,10.0,0.8,15.6,-3.0,39.8,-3.1,3.69,2023-11-30
Georgia,25,,10.0,0.8,15.6,-3.0,39.8,-3.1,3.69,2023-12-01
Georgia,25,,10.0,0.8,15.6,-3.0,39.8,-3.1,3.69,2023-12-02
Georgia,25,,10.0,0.8,15.6,-3.0,39.8,-3.1,3.69,2023-12-03
Georgia,25,,10.0,0.1,15.6,-3.0,39.8,-3.1,3.69,2023-12-04
Georgia,25,,10.0,0.1,15.6,-3.0,39.8,-3.1,3.69,2023-12-05
Georgia,25,,10.0,0.1,15.6,-3.0,39.8,-3.1,3.69,2023-12-06
Georgia,25,,10.0,0.1,15.6,-3.0,39.8,-3.1,3.69,2023-12-07
Georgia,25,,10.0,0.1,15.6,-3.0,39.8,-3.1,3.69,2023-12-08
Georgia,25,,10.0,0.1,15.6,-3.0,39.8,-3.1,3.69,2023-12-09
Georgia,25,,10.0,0.1,15.6,-3.0,39.8,-3.1,3.69,2023-12-10
Georgia,25,,10.0,0.1,15.6,-3.0,39.8,-3.1,3.69,2023-12-11
Georgia,25,,10.0,0.1,15.6,-3.0,39.8,-3.1,3.69,2023-12-12
Georgia,25,,10.0,0.1,15.6,-3.0,39.8,-3.1,3.69,2023-12-13
Georgia,25,,10.0,0.1,15.6,-3.0,39.8,-3.1,3.69,2023-12-14
