country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Germany,4072,-0.1,4.5,3.8,5.8,-2.5,66.1,4.4,84.4,2023-11-23
Germany,4072,-0.1,4.5,3.8,5.8,-2.5,66.1,4.4,84.4,2023-11-24
Germany,4072,-0.1,4.5,3.8,5.8,-2.5,66.1,4.4,84.4,2023-11-25
Germany,4072,-0.1,4.5,3.8,5.8,-2.5,66.1,4.4,84.4,2023-11-26
Germany,4072,-0.1,4.5,3.8,5.8,-2.5,66.1,4.4,84.4,2023-11-27
Germany,4072,-0.1,4.5,3.8,5.8,-2.5,66.1,4.4,84.4,2023-11-28
Germany,4072,-0.1,4.5,3.2,5.8,-2.5,66.1,4.4,84.4,2023-11-29
Germany,4072,-0.1,4.5,3.2,5.9,-2.5,66.1,4.4,84.4,2023-11-30
Germany,4072,-0.1,4.5,3.2,5.9,-2.5,66.1,4.4,84.4,2023-12-01
Germany,4072,-0.1,4.5,3.2,5.9,-2.5,66.1,4.4,84.4,2023-12-02
Germany,4072,-0.1,4.5,3.2,5.9,-2.5,66.1,4.4,84.4,2023-12-03
Germany,4072,-0.1,4.5,3.2,5.9,-2.5,66.1,4.4,84.4,2023-12-04
Germany,4072,-0.1,4.5,3.2,5.9,-2.5,66.1,4.4,84.4,2023-12-05
Germany,4072,-0.1,4.5,3.2,5.9,-2.5,66.1,4.4,84.4,2023-12-06
Germany,4072,-0.1,4.5,3.2,5.9,-2.5,66.1,4.4,84.4,2023-12-07
Germany,4072,-0.1,4.5,3.2,5.9,-2.5,66.1,4.4,84.4,2023-12-08
