country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-11-23
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-11-24
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-11-25
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-11-26
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-11-27
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-11-28
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-11-29
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-11-30
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-12-01
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-12-02
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-12-03
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-12-04
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-12-05
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-12-06
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-12-07
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-12-08
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-12-09
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-12-10
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-12-11
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-12-12
Ghana,73,0.7,30.0,35.2,3.9,-11.8,88.8,-2.1,33.48,2023-12-13
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-14
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-15
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-16
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-17
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-18
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-19
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-20
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-21
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-22
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-23
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-24
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-25
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-26
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-27
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-28
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-29
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-30
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2023-12-31
Ghana,73,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2024-01-01
Ghana,74,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2024-01-02
Ghana,74,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2024-01-03
Ghana,74,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2024-01-04
Ghana,74,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2024-01-05
Ghana,74,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2024-01-06
Ghana,74,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2024-01-07
Ghana,74,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2024-01-08
Ghana,74,0.7,30.0,26.4,3.9,-11.8,92.4,-2.1,33.48,2024-01-09
Ghana,74,0.5,30.0,23.2,3.9,-11.8,92.4,-2.1,33.48,2024-01-10
Ghana,74,0.5,30.0,23.2,3.9,-11.8,92.4,-2.1,33.48,2024-01-11
Ghana,74,0.5,30.0,23.2,3.9,-11.8,92.4,-2.1,33.48,2024-01-12
