country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-11-23
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-11-24
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-11-25
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-11-26
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-11-27
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-11-28
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-11-29
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-11-30
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-12-01
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-12-02
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-12-03
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-12-04
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-12-05
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-12-06
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-12-07
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-12-08
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-12-09
Guatemala,95,,5.0,4.98,3.0,-1.7,27.45,1.8,17.36,2023-12-10
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-11
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-12
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-13
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-14
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-15
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-16
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-17
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-18
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-19
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-20
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-21
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-22
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-23
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-24
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-25
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-26
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-27
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-28
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-29
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-30
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2023-12-31
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2024-01-01
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2024-01-02
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2024-01-03
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2024-01-04
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2024-01-05
Guatemala,95,,5.0,4.3,3.0,-1.7,27.45,1.8,17.36,2024-01-06
