country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Guinea Bissau,2,,5.25,4.7,3.6,-5.5,41.1,-1.1,2.11,2023-11-23
Guinea Bissau,2,,5.25,4.7,3.6,-5.5,41.1,-1.1,2.11,2023-11-24
Guinea Bissau,2,,5.25,4.7,3.6,-5.5,41.1,-1.1,2.11,2023-11-25
Guinea Bissau,2,,5.25,4.7,3.6,-5.5,41.1,-1.1,2.11,2023-11-26
Guinea Bissau,2,,5.25,4.7,3.6,-5.5,41.1,-1.1,2.11,2023-11-27
Guinea Bissau,2,,5.25,4.7,3.6,-5.5,41.1,-1.1,2.11,2023-11-28
Guinea Bissau,2,,5.25,4.7,3.6,-5.5,41.1,-1.1,2.11,2023-11-29
Guinea Bissau,2,,5.25,4.7,3.6,-5.5,41.1,-1.1,2.11,2023-11-30
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-01
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-02
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-03
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-04
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-05
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-06
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-07
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-08
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-09
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-10
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-11
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-12
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-13
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-14
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-15
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-16
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-17
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-18
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-19
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-20
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-21
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-22
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-23
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-24
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-25
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-26
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-27
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-28
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-29
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-30
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2023-12-31
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2024-01-01
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2024-01-02
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2024-01-03
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2024-01-04
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2024-01-05
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2024-01-06
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-1.1,2.11,2024-01-07
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-9.0,2.11,2024-01-08
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-9.0,2.11,2024-01-09
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-9.0,2.11,2024-01-10
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-9.0,2.11,2024-01-11
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-9.0,2.11,2024-01-12
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-9.0,2.11,2024-01-13
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-9.0,2.11,2024-01-14
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-9.0,2.11,2024-01-15
Guinea Bissau,2,,5.25,3.8,3.6,-5.5,41.1,-9.0,2.11,2024-01-16
Guinea Bissau,2,,5.5,3.8,3.6,-5.5,41.1,-9.0,2.11,2024-01-17
