country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-11-23
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-11-24
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-11-25
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-11-26
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-11-27
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-11-28
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-11-29
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-11-30
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-12-01
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-12-02
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-12-03
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-12-04
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-12-05
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-12-06
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-12-07
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-12-08
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-12-09
Guyana,15,,5.0,1.03,12.4,-11.8,27.8,27.3,0.78,2023-12-10
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-11
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-12
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-13
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-14
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-15
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-16
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-17
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-18
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-19
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-20
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-21
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-22
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-23
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-24
Guyana,15,,5.0,1.8,12.4,-11.8,27.8,27.3,0.78,2023-12-25
