country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-11-23
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-11-24
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-11-25
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-11-26
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-11-27
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-11-28
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-11-29
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-11-30
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-12-01
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-12-02
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-12-03
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-12-04
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-12-05
Honduras,32,1.3,3.0,5.84,8.7,-1.29,48.06,-3.4,9.6,2023-12-06
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-07
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-08
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-09
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-10
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-11
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-12
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-13
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-14
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-15
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-16
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-17
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-18
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-19
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-20
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-21
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-22
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-23
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-24
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-25
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-26
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-27
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-28
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-29
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-30
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2023-12-31
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2024-01-01
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2024-01-02
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2024-01-03
Honduras,32,1.3,3.0,5.04,8.7,-1.29,48.06,-3.4,9.6,2024-01-04
