country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-11-23
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-11-24
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-11-25
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-11-26
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-11-27
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-11-28
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-11-29
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-11-30
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-01
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-02
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-03
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-04
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-05
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-06
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-07
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-08
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-09
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-10
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-11
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-12
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-13
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-14
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-15
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-16
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-17
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-18
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-19
Hong Kong,360,0.1,5.75,2.7,2.9,-5.0,38.4,10.7,7.35,2023-12-20
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2023-12-21
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2023-12-22
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2023-12-23
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2023-12-24
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2023-12-25
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2023-12-26
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2023-12-27
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2023-12-28
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2023-12-29
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2023-12-30
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2023-12-31
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2024-01-01
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2024-01-02
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2024-01-03
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2024-01-04
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2024-01-05
Hong Kong,360,0.1,5.75,2.6,2.9,-5.0,38.4,10.7,7.35,2024-01-06
