country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Hungary,179,0.9,13.0,9.9,4.1,-6.2,73.9,-8.3,9.69,2023-11-23
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-11-24
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-11-25
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-11-26
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-11-27
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-11-28
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-11-29
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-11-30
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-01
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-02
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-03
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-04
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-05
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-06
Hungary,179,0.9,13.0,9.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-07
Hungary,179,0.9,13.0,7.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-08
Hungary,179,0.9,13.0,7.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-09
Hungary,179,0.9,13.0,7.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-10
Hungary,179,0.9,13.0,7.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-11
Hungary,179,0.9,13.0,7.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-12
Hungary,179,0.9,13.0,7.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-13
Hungary,179,0.9,13.0,7.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-14
Hungary,179,0.9,13.0,7.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-15
Hungary,179,0.9,13.0,7.9,4.3,-6.2,73.9,-8.3,9.69,2023-12-16
