country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-11-23
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-11-24
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-11-25
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-11-26
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-11-27
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-11-28
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-11-29
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-11-30
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-12-01
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-12-02
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-12-03
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-12-04
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-12-05
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-12-06
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-12-07
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-12-08
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-12-09
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-12-10
India,3385,1.9,6.5,4.87,7.1,-6.44,89.26,-2.6,1373.76,2023-12-11
India,3385,1.9,6.5,5.55,7.1,-6.44,89.26,-2.6,1373.76,2023-12-12
India,3385,1.9,6.5,5.55,7.1,-6.44,89.26,-2.6,1373.76,2023-12-13
