country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Indonesia,1319,1.6,6.0,2.56,5.32,-2.38,39.9,1.0,275.8,2023-11-23
Indonesia,1319,1.6,6.0,2.56,5.32,-2.38,39.9,1.0,275.8,2023-11-24
Indonesia,1319,1.6,6.0,2.56,5.32,-2.38,39.9,1.0,275.8,2023-11-25
Indonesia,1319,1.6,6.0,2.56,5.32,-2.38,39.9,1.0,275.8,2023-11-26
Indonesia,1319,1.6,6.0,2.56,5.32,-2.38,39.9,1.0,275.8,2023-11-27
Indonesia,1319,1.6,6.0,2.56,5.32,-2.38,39.9,1.0,275.8,2023-11-28
Indonesia,1319,1.6,6.0,2.56,5.32,-2.38,39.9,1.0,275.8,2023-11-29
Indonesia,1319,1.6,6.0,2.56,5.32,-2.38,39.9,1.0,275.8,2023-11-30
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-01
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-02
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-03
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-04
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-05
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-06
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-07
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-08
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-09
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-10
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-11
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-12
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-13
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-14
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-15
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-16
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-17
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-18
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-19
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-20
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-21
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-22
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-23
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-24
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-25
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-26
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-27
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-28
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-29
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-30
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2023-12-31
Indonesia,1319,1.6,6.0,2.86,5.32,-2.38,39.9,1.0,275.8,2024-01-01
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-02
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-03
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-04
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-05
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-06
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-07
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-08
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-09
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-10
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-11
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-12
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-13
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-14
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-15
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-16
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-17
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-18
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-19
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-20
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-21
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-22
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-23
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-24
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-25
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-26
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-27
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-28
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-29
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-30
Indonesia,1319,1.6,6.0,2.61,5.32,-1.65,39.9,1.0,275.8,2024-01-31
