country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-11-23
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-11-24
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-11-25
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-11-26
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-11-27
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-11-28
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-11-29
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-11-30
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-01
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-02
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-03
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-04
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-05
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-06
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-07
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-08
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-09
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-10
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-11
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-12
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-13
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-14
Iran,389,,18.0,39.2,7.9,-4.0,34.0,4.7,84.7,2023-12-15
