country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-11-23
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-11-24
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-11-25
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-11-26
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-11-27
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-11-28
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-11-29
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-11-30
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-12-01
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-12-02
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-12-03
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-12-04
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-12-05
Iraq,264,,7.5,3.55,15.55,6.4,43.3,16.3,44.5,2023-12-06
