country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Italy,2010,0.04,4.5,1.69,7.4,-8.0,141.7,-1.5,58.98,2023-11-23
Italy,2010,0.04,4.5,1.69,7.4,-8.0,141.7,-1.5,58.98,2023-11-24
Italy,2010,0.04,4.5,1.69,7.4,-8.0,141.7,-1.5,58.98,2023-11-25
Italy,2010,0.04,4.5,1.69,7.4,-8.0,141.7,-1.5,58.98,2023-11-26
Italy,2010,0.04,4.5,1.69,7.4,-8.0,141.7,-1.5,58.98,2023-11-27
Italy,2010,0.04,4.5,1.69,7.4,-8.0,141.7,-1.5,58.98,2023-11-28
Italy,2010,0.04,4.5,1.69,7.4,-8.0,141.7,-1.5,58.98,2023-11-29
Italy,2010,0.04,4.5,0.8,7.8,-8.0,141.7,-1.5,58.98,2023-11-30
Italy,2010,0.1,4.5,0.8,7.8,-8.0,141.7,-1.5,58.98,2023-12-01
Italy,2010,0.1,4.5,0.8,7.8,-8.0,141.7,-1.5,58.98,2023-12-02
Italy,2010,0.1,4.5,0.8,7.8,-8.0,141.7,-1.5,58.98,2023-12-03
Italy,2010,0.1,4.5,0.76,7.8,-8.0,141.7,-1.5,58.98,2023-12-04
