country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-11-23
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-11-24
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-11-25
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-11-26
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-11-27
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-11-28
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-11-29
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-11-30
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-12-01
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-12-02
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-12-03
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-12-04
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-12-05
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-12-06
Jamaica,17,0.2,7.0,5.1,4.5,0.3,86.2,-3.2,2.83,2023-12-07
