country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Japan,4231,-0.5,-0.1,3.0,2.6,-6.4,263.9,1.9,124.95,2023-11-23
Japan,4231,-0.5,-0.1,3.3,2.6,-6.4,263.9,1.9,124.95,2023-11-24
Japan,4231,-0.5,-0.1,3.3,2.6,-6.4,263.9,1.9,124.95,2023-11-25
Japan,4231,-0.5,-0.1,3.3,2.6,-6.4,263.9,1.9,124.95,2023-11-26
Japan,4231,-0.5,-0.1,3.3,2.6,-6.4,263.9,1.9,124.95,2023-11-27
Japan,4231,-0.5,-0.1,3.3,2.6,-6.4,263.9,1.9,124.95,2023-11-28
Japan,4231,-0.5,-0.1,3.3,2.6,-6.4,263.9,1.9,124.95,2023-11-29
Japan,4231,-0.5,-0.1,3.3,2.6,-6.4,263.9,1.9,124.95,2023-11-30
Japan,4231,-0.5,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-01
Japan,4231,-0.5,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-02
Japan,4231,-0.5,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-03
Japan,4231,-0.5,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-04
Japan,4231,-0.5,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-05
Japan,4231,-0.5,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-06
Japan,4231,-0.5,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-07
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-08
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-09
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-10
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-11
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-12
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-13
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-14
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-15
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-16
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-17
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-18
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-19
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-20
Japan,4231,-0.7,-0.1,3.3,2.5,-6.4,263.9,1.9,124.95,2023-12-21
Japan,4231,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.9,124.95,2023-12-22
Japan,4231,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.9,124.95,2023-12-23
Japan,4231,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.9,124.95,2023-12-24
Japan,4231,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.9,124.95,2023-12-25
Japan,4231,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.9,124.95,2023-12-26
Japan,4231,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.9,124.95,2023-12-27
Japan,4231,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.9,124.95,2023-12-28
Japan,4231,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.9,124.95,2023-12-29
Japan,4231,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.9,124.95,2023-12-30
Japan,4231,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.9,124.95,2023-12-31
Japan,4231,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.9,124.95,2024-01-01
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.9,124.95,2024-01-02
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-03
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-04
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-05
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-06
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-07
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-08
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-09
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-10
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-11
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-12
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-13
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-14
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-15
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-16
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-17
Japan,4232,-0.7,-0.1,2.8,2.5,-6.4,263.9,1.8,124.95,2024-01-18
Japan,4232,-0.7,-0.1,2.6,2.5,-6.4,263.9,1.8,124.95,2024-01-19
Japan,4232,-0.7,-0.1,2.6,2.5,-6.4,263.9,1.8,124.95,2024-01-20
