country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-11-23
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-11-24
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-11-25
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-11-26
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-11-27
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-11-28
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-11-29
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-11-30
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-12-01
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-12-02
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-12-03
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-12-04
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-12-05
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-12-06
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-12-07
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-12-08
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-12-09
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-12-10
Jordan,47,,7.5,1.36,22.3,-4.6,89.4,-6.7,11.3,2023-12-11
Jordan,47,,7.5,1.3,22.3,-4.6,89.4,-6.7,11.3,2023-12-12
Jordan,47,,7.5,1.3,22.3,-4.6,89.4,-6.7,11.3,2023-12-13
Jordan,47,,7.5,1.3,22.3,-4.6,89.4,-6.7,11.3,2023-12-14
Jordan,47,,7.5,1.3,22.3,-4.6,89.4,-6.7,11.3,2023-12-15
Jordan,47,,7.5,1.3,22.3,-4.6,89.4,-6.7,11.3,2023-12-16
Jordan,47,,7.5,1.3,22.3,-4.6,89.4,-6.7,11.3,2023-12-17
Jordan,47,,7.5,1.3,22.3,-4.6,89.4,-6.7,11.3,2023-12-18
Jordan,47,,7.5,1.3,22.3,-4.6,89.4,-6.7,11.3,2023-12-19
Jordan,47,,7.5,1.3,22.3,-4.6,89.4,-6.7,11.3,2023-12-20
Jordan,47,,7.5,1.3,22.3,-4.6,89.4,-6.7,11.3,2023-12-21
Jordan,47,,7.5,1.3,22.3,-4.6,89.4,-6.7,11.3,2023-12-22
Jordan,47,,7.5,1.3,22.3,-4.6,89.4,-6.7,11.3,2023-12-23
Jordan,47,,7.5,1.3,22.3,-4.6,89.4,-6.7,11.3,2023-12-24
Jordan,47,,7.5,1.27,22.3,-4.6,89.4,-6.7,11.3,2023-12-25
Jordan,47,,7.5,1.27,22.3,-4.6,89.4,-6.7,11.3,2023-12-26
Jordan,47,,7.5,1.27,22.3,-4.6,89.4,-6.7,11.3,2023-12-27
Jordan,47,,7.5,1.27,22.3,-4.6,89.4,-6.7,11.3,2023-12-28
Jordan,47,,7.5,1.27,22.3,-4.6,89.4,-6.7,11.3,2023-12-29
Jordan,47,,7.5,1.27,22.3,-4.6,89.4,-6.7,11.3,2023-12-30
Jordan,47,,7.5,1.27,22.3,-4.6,89.4,-6.7,11.3,2023-12-31
Jordan,47,,7.5,1.27,22.3,-4.6,89.4,-6.7,11.3,2024-01-01
Jordan,49,,7.5,1.27,22.3,-4.6,89.4,-6.7,11.3,2024-01-02
Jordan,49,,7.5,1.27,22.3,-4.6,89.4,-8.8,11.3,2024-01-03
Jordan,49,,7.5,1.27,22.3,-4.6,89.4,-8.8,11.3,2024-01-04
Jordan,49,,7.5,1.27,22.3,-4.6,89.4,-8.8,11.3,2024-01-05
Jordan,49,,7.5,1.27,22.3,-4.6,89.4,-8.8,11.3,2024-01-06
Jordan,49,,7.5,1.27,22.3,-4.6,89.4,-8.8,11.3,2024-01-07
Jordan,49,,7.5,1.27,22.3,-4.6,89.4,-8.8,11.3,2024-01-08
