country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Kazakhstan,221,1.26,16.0,10.8,4.7,-2.3,24.4,3.0,19.77,2023-11-23
Kazakhstan,221,1.26,15.75,10.8,4.7,-2.3,24.4,3.0,19.77,2023-11-24
Kazakhstan,221,1.26,15.75,10.8,4.7,-2.3,24.4,3.0,19.77,2023-11-25
Kazakhstan,221,1.26,15.75,10.8,4.7,-2.3,24.4,3.0,19.77,2023-11-26
Kazakhstan,221,1.26,15.75,10.8,4.7,-2.3,24.4,3.0,19.77,2023-11-27
Kazakhstan,221,1.26,15.75,10.8,4.7,-2.3,24.4,3.0,19.77,2023-11-28
Kazakhstan,221,1.26,15.75,10.8,4.7,-2.3,24.4,3.0,19.77,2023-11-29
Kazakhstan,221,1.26,15.75,10.8,4.7,-2.3,24.4,3.0,19.77,2023-11-30
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-01
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-02
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-03
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-04
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-05
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-06
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-07
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-08
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-09
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-10
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-11
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-12
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-13
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-14
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-15
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-16
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-17
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-18
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-19
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-20
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-21
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-22
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-23
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-24
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-25
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-26
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-27
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-28
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-29
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-30
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2023-12-31
Kazakhstan,221,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2024-01-01
Kazakhstan,226,1.26,15.75,10.3,4.7,-2.3,24.4,3.0,19.77,2024-01-02
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-03
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-04
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-05
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-06
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-07
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-08
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-09
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-10
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-11
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-12
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-13
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-14
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-15
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-16
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-17
Kazakhstan,226,1.26,15.75,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-18
Kazakhstan,226,1.26,15.25,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-19
Kazakhstan,226,1.26,15.25,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-20
Kazakhstan,226,1.26,15.25,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-21
Kazakhstan,226,1.26,15.25,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-22
Kazakhstan,226,1.26,15.25,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-23
Kazakhstan,226,1.26,15.25,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-24
Kazakhstan,226,1.26,15.25,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-25
Kazakhstan,226,1.26,15.25,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-26
Kazakhstan,226,1.26,15.25,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-27
Kazakhstan,226,1.26,15.25,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-28
Kazakhstan,226,1.26,15.25,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-29
Kazakhstan,226,1.26,15.25,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-30
Kazakhstan,226,1.26,15.25,9.8,4.7,-2.3,24.4,3.9,19.77,2024-01-31
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-01
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-02
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-03
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-04
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-05
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-06
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-07
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-08
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-09
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-10
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-11
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-12
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-13
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-14
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,19.77,2024-02-15
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,20.03,2024-02-16
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,20.03,2024-02-17
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,20.03,2024-02-18
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,20.03,2024-02-19
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,20.03,2024-02-20
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,20.03,2024-02-21
Kazakhstan,226,1.26,15.25,9.5,4.7,-2.3,24.4,3.9,20.03,2024-02-22
Kazakhstan,226,1.26,14.75,9.5,4.7,-2.3,24.4,3.9,20.03,2024-02-23
